timeframe,group,category,year,metric,value,segment,state,region,aggregation,states_included
mid-year,hunt,all,2010,participants,39337,all,VA,Southeast,NONE,NA
mid-year,hunt,all,2011,participants,41247,all,VA,Southeast,NONE,NA
mid-year,hunt,all,2012,participants,42610,all,VA,Southeast,NONE,NA
mid-year,hunt,all,2013,participants,43492,all,VA,Southeast,NONE,NA
mid-year,hunt,all,2014,participants,44295,all,VA,Southeast,NONE,NA
mid-year,hunt,all,2015,participants,43943,all,VA,Southeast,NONE,NA
mid-year,hunt,all,2016,participants,45188,all,VA,Southeast,NONE,NA
mid-year,hunt,all,2017,participants,41613,all,VA,Southeast,NONE,NA
mid-year,hunt,all,2018,participants,42714,all,VA,Southeast,NONE,NA
mid-year,hunt,all,2019,participants,45238,all,VA,Southeast,NONE,NA
mid-year,hunt,resident,2010,participants,35515,residency,VA,Southeast,NONE,NA
mid-year,hunt,resident,2011,participants,37298,residency,VA,Southeast,NONE,NA
mid-year,hunt,resident,2012,participants,38513,residency,VA,Southeast,NONE,NA
mid-year,hunt,resident,2013,participants,39287,residency,VA,Southeast,NONE,NA
mid-year,hunt,resident,2014,participants,40138,residency,VA,Southeast,NONE,NA
mid-year,hunt,resident,2015,participants,39522,residency,VA,Southeast,NONE,NA
mid-year,hunt,resident,2016,participants,40554,residency,VA,Southeast,NONE,NA
mid-year,hunt,resident,2017,participants,37113,residency,VA,Southeast,NONE,NA
mid-year,hunt,resident,2018,participants,38124,residency,VA,Southeast,NONE,NA
mid-year,hunt,resident,2019,participants,40198,residency,VA,Southeast,NONE,NA
mid-year,hunt,nonresident,2010,participants,3822,residency,VA,Southeast,NONE,NA
mid-year,hunt,nonresident,2011,participants,3949,residency,VA,Southeast,NONE,NA
mid-year,hunt,nonresident,2012,participants,4097,residency,VA,Southeast,NONE,NA
mid-year,hunt,nonresident,2013,participants,4205,residency,VA,Southeast,NONE,NA
mid-year,hunt,nonresident,2014,participants,4157,residency,VA,Southeast,NONE,NA
mid-year,hunt,nonresident,2015,participants,4421,residency,VA,Southeast,NONE,NA
mid-year,hunt,nonresident,2016,participants,4634,residency,VA,Southeast,NONE,NA
mid-year,hunt,nonresident,2017,participants,4500,residency,VA,Southeast,NONE,NA
mid-year,hunt,nonresident,2018,participants,4590,residency,VA,Southeast,NONE,NA
mid-year,hunt,nonresident,2019,participants,5040,residency,VA,Southeast,NONE,NA
mid-year,hunt,male,2010,participants,33561,gender,VA,Southeast,NONE,NA
mid-year,hunt,male,2011,participants,35060,gender,VA,Southeast,NONE,NA
mid-year,hunt,male,2012,participants,35728,gender,VA,Southeast,NONE,NA
mid-year,hunt,male,2013,participants,36766,gender,VA,Southeast,NONE,NA
mid-year,hunt,male,2014,participants,36877,gender,VA,Southeast,NONE,NA
mid-year,hunt,male,2015,participants,36684,gender,VA,Southeast,NONE,NA
mid-year,hunt,male,2016,participants,37285,gender,VA,Southeast,NONE,NA
mid-year,hunt,male,2017,participants,34775,gender,VA,Southeast,NONE,NA
mid-year,hunt,male,2018,participants,35908,gender,VA,Southeast,NONE,NA
mid-year,hunt,male,2019,participants,37862,gender,VA,Southeast,NONE,NA
mid-year,hunt,female,2010,participants,5776,gender,VA,Southeast,NONE,NA
mid-year,hunt,female,2011,participants,6187,gender,VA,Southeast,NONE,NA
mid-year,hunt,female,2012,participants,6882,gender,VA,Southeast,NONE,NA
mid-year,hunt,female,2013,participants,6726,gender,VA,Southeast,NONE,NA
mid-year,hunt,female,2014,participants,7418,gender,VA,Southeast,NONE,NA
mid-year,hunt,female,2015,participants,7259,gender,VA,Southeast,NONE,NA
mid-year,hunt,female,2016,participants,7903,gender,VA,Southeast,NONE,NA
mid-year,hunt,female,2017,participants,6838,gender,VA,Southeast,NONE,NA
mid-year,hunt,female,2018,participants,6806,gender,VA,Southeast,NONE,NA
mid-year,hunt,female,2019,participants,7376,gender,VA,Southeast,NONE,NA
mid-year,hunt,18-24,2010,participants,5032,age,VA,Southeast,NONE,NA
mid-year,hunt,18-24,2011,participants,5335,age,VA,Southeast,NONE,NA
mid-year,hunt,18-24,2012,participants,5761,age,VA,Southeast,NONE,NA
mid-year,hunt,18-24,2013,participants,6235,age,VA,Southeast,NONE,NA
mid-year,hunt,18-24,2014,participants,6670,age,VA,Southeast,NONE,NA
mid-year,hunt,18-24,2015,participants,6718,age,VA,Southeast,NONE,NA
mid-year,hunt,18-24,2016,participants,7102,age,VA,Southeast,NONE,NA
mid-year,hunt,18-24,2017,participants,5777,age,VA,Southeast,NONE,NA
mid-year,hunt,18-24,2018,participants,5750,age,VA,Southeast,NONE,NA
mid-year,hunt,18-24,2019,participants,6053,age,VA,Southeast,NONE,NA
mid-year,hunt,25-34,2010,participants,7922,age,VA,Southeast,NONE,NA
mid-year,hunt,25-34,2011,participants,8072,age,VA,Southeast,NONE,NA
mid-year,hunt,25-34,2012,participants,8587,age,VA,Southeast,NONE,NA
mid-year,hunt,25-34,2013,participants,9082,age,VA,Southeast,NONE,NA
mid-year,hunt,25-34,2014,participants,9467,age,VA,Southeast,NONE,NA
mid-year,hunt,25-34,2015,participants,9647,age,VA,Southeast,NONE,NA
mid-year,hunt,25-34,2016,participants,9866,age,VA,Southeast,NONE,NA
mid-year,hunt,25-34,2017,participants,8672,age,VA,Southeast,NONE,NA
mid-year,hunt,25-34,2018,participants,8926,age,VA,Southeast,NONE,NA
mid-year,hunt,25-34,2019,participants,9585,age,VA,Southeast,NONE,NA
mid-year,hunt,35-44,2010,participants,8766,age,VA,Southeast,NONE,NA
mid-year,hunt,35-44,2011,participants,9022,age,VA,Southeast,NONE,NA
mid-year,hunt,35-44,2012,participants,8973,age,VA,Southeast,NONE,NA
mid-year,hunt,35-44,2013,participants,9114,age,VA,Southeast,NONE,NA
mid-year,hunt,35-44,2014,participants,9055,age,VA,Southeast,NONE,NA
mid-year,hunt,35-44,2015,participants,8696,age,VA,Southeast,NONE,NA
mid-year,hunt,35-44,2016,participants,8945,age,VA,Southeast,NONE,NA
mid-year,hunt,35-44,2017,participants,8321,age,VA,Southeast,NONE,NA
mid-year,hunt,35-44,2018,participants,8504,age,VA,Southeast,NONE,NA
mid-year,hunt,35-44,2019,participants,9026,age,VA,Southeast,NONE,NA
mid-year,hunt,45-54,2010,participants,9872,age,VA,Southeast,NONE,NA
mid-year,hunt,45-54,2011,participants,10346,age,VA,Southeast,NONE,NA
mid-year,hunt,45-54,2012,participants,10345,age,VA,Southeast,NONE,NA
mid-year,hunt,45-54,2013,participants,10241,age,VA,Southeast,NONE,NA
mid-year,hunt,45-54,2014,participants,10085,age,VA,Southeast,NONE,NA
mid-year,hunt,45-54,2015,participants,9813,age,VA,Southeast,NONE,NA
mid-year,hunt,45-54,2016,participants,9859,age,VA,Southeast,NONE,NA
mid-year,hunt,45-54,2017,participants,9416,age,VA,Southeast,NONE,NA
mid-year,hunt,45-54,2018,participants,9692,age,VA,Southeast,NONE,NA
mid-year,hunt,45-54,2019,participants,9938,age,VA,Southeast,NONE,NA
mid-year,hunt,55-64,2010,participants,7746,age,VA,Southeast,NONE,NA
mid-year,hunt,55-64,2011,participants,8472,age,VA,Southeast,NONE,NA
mid-year,hunt,55-64,2012,participants,8944,age,VA,Southeast,NONE,NA
mid-year,hunt,55-64,2013,participants,8820,age,VA,Southeast,NONE,NA
mid-year,hunt,55-64,2014,participants,9018,age,VA,Southeast,NONE,NA
mid-year,hunt,55-64,2015,participants,9069,age,VA,Southeast,NONE,NA
mid-year,hunt,55-64,2016,participants,9416,age,VA,Southeast,NONE,NA
mid-year,hunt,55-64,2017,participants,9427,age,VA,Southeast,NONE,NA
mid-year,hunt,55-64,2018,participants,9842,age,VA,Southeast,NONE,NA
mid-year,hunt,55-64,2019,participants,10637,age,VA,Southeast,NONE,NA
mid-year,hunt,all,2014,participants - recruited,13351,all,VA,Southeast,NONE,NA
mid-year,hunt,all,2015,participants - recruited,12966,all,VA,Southeast,NONE,NA
mid-year,hunt,all,2016,participants - recruited,13752,all,VA,Southeast,NONE,NA
mid-year,hunt,all,2017,participants - recruited,12451,all,VA,Southeast,NONE,NA
mid-year,hunt,all,2018,participants - recruited,11059,all,VA,Southeast,NONE,NA
mid-year,hunt,all,2019,participants - recruited,12051,all,VA,Southeast,NONE,NA
mid-year,hunt,resident,2014,participants - recruited,11225,residency,VA,Southeast,NONE,NA
mid-year,hunt,resident,2015,participants - recruited,10568,residency,VA,Southeast,NONE,NA
mid-year,hunt,resident,2016,participants - recruited,11207,residency,VA,Southeast,NONE,NA
mid-year,hunt,resident,2017,participants - recruited,10101,residency,VA,Southeast,NONE,NA
mid-year,hunt,resident,2018,participants - recruited,8709,residency,VA,Southeast,NONE,NA
mid-year,hunt,resident,2019,participants - recruited,9381,residency,VA,Southeast,NONE,NA
mid-year,hunt,nonresident,2014,participants - recruited,2126,residency,VA,Southeast,NONE,NA
mid-year,hunt,nonresident,2015,participants - recruited,2398,residency,VA,Southeast,NONE,NA
mid-year,hunt,nonresident,2016,participants - recruited,2545,residency,VA,Southeast,NONE,NA
mid-year,hunt,nonresident,2017,participants - recruited,2350,residency,VA,Southeast,NONE,NA
mid-year,hunt,nonresident,2018,participants - recruited,2350,residency,VA,Southeast,NONE,NA
mid-year,hunt,nonresident,2019,participants - recruited,2670,residency,VA,Southeast,NONE,NA
mid-year,hunt,male,2014,participants - recruited,9527,gender,VA,Southeast,NONE,NA
mid-year,hunt,male,2015,participants - recruited,9384,gender,VA,Southeast,NONE,NA
mid-year,hunt,male,2016,participants - recruited,9718,gender,VA,Southeast,NONE,NA
mid-year,hunt,male,2017,participants - recruited,9140,gender,VA,Southeast,NONE,NA
mid-year,hunt,male,2018,participants - recruited,8107,gender,VA,Southeast,NONE,NA
mid-year,hunt,male,2019,participants - recruited,8749,gender,VA,Southeast,NONE,NA
mid-year,hunt,female,2014,participants - recruited,3824,gender,VA,Southeast,NONE,NA
mid-year,hunt,female,2015,participants - recruited,3582,gender,VA,Southeast,NONE,NA
mid-year,hunt,female,2016,participants - recruited,4034,gender,VA,Southeast,NONE,NA
mid-year,hunt,female,2017,participants - recruited,3311,gender,VA,Southeast,NONE,NA
mid-year,hunt,female,2018,participants - recruited,2952,gender,VA,Southeast,NONE,NA
mid-year,hunt,female,2019,participants - recruited,3302,gender,VA,Southeast,NONE,NA
mid-year,hunt,18-24,2014,participants - recruited,2730,age,VA,Southeast,NONE,NA
mid-year,hunt,18-24,2015,participants - recruited,2586,age,VA,Southeast,NONE,NA
mid-year,hunt,18-24,2016,participants - recruited,2788,age,VA,Southeast,NONE,NA
mid-year,hunt,18-24,2017,participants - recruited,2090,age,VA,Southeast,NONE,NA
mid-year,hunt,18-24,2018,participants - recruited,1861,age,VA,Southeast,NONE,NA
mid-year,hunt,18-24,2019,participants - recruited,2013,age,VA,Southeast,NONE,NA
mid-year,hunt,25-34,2014,participants - recruited,3514,age,VA,Southeast,NONE,NA
mid-year,hunt,25-34,2015,participants - recruited,3497,age,VA,Southeast,NONE,NA
mid-year,hunt,25-34,2016,participants - recruited,3637,age,VA,Southeast,NONE,NA
mid-year,hunt,25-34,2017,participants - recruited,3136,age,VA,Southeast,NONE,NA
mid-year,hunt,25-34,2018,participants - recruited,2729,age,VA,Southeast,NONE,NA
mid-year,hunt,25-34,2019,participants - recruited,3122,age,VA,Southeast,NONE,NA
mid-year,hunt,35-44,2014,participants - recruited,2727,age,VA,Southeast,NONE,NA
mid-year,hunt,35-44,2015,participants - recruited,2552,age,VA,Southeast,NONE,NA
mid-year,hunt,35-44,2016,participants - recruited,2777,age,VA,Southeast,NONE,NA
mid-year,hunt,35-44,2017,participants - recruited,2633,age,VA,Southeast,NONE,NA
mid-year,hunt,35-44,2018,participants - recruited,2306,age,VA,Southeast,NONE,NA
mid-year,hunt,35-44,2019,participants - recruited,2447,age,VA,Southeast,NONE,NA
mid-year,hunt,45-54,2014,participants - recruited,2489,age,VA,Southeast,NONE,NA
mid-year,hunt,45-54,2015,participants - recruited,2427,age,VA,Southeast,NONE,NA
mid-year,hunt,45-54,2016,participants - recruited,2564,age,VA,Southeast,NONE,NA
mid-year,hunt,45-54,2017,participants - recruited,2483,age,VA,Southeast,NONE,NA
mid-year,hunt,45-54,2018,participants - recruited,2245,age,VA,Southeast,NONE,NA
mid-year,hunt,45-54,2019,participants - recruited,2368,age,VA,Southeast,NONE,NA
mid-year,hunt,55-64,2014,participants - recruited,1891,age,VA,Southeast,NONE,NA
mid-year,hunt,55-64,2015,participants - recruited,1904,age,VA,Southeast,NONE,NA
mid-year,hunt,55-64,2016,participants - recruited,1986,age,VA,Southeast,NONE,NA
mid-year,hunt,55-64,2017,participants - recruited,2109,age,VA,Southeast,NONE,NA
mid-year,hunt,55-64,2018,participants - recruited,1918,age,VA,Southeast,NONE,NA
