state,year,sex,age,pop
Alabama,2009,1,22 to 24 years,94383.3595846584
Alabama,2009,1,25 to 29 years,152900.3358003807
Alabama,2009,1,30 to 34 years,143628.0806318991
Alabama,2009,1,35 to 39 years,152685.28894161692
Alabama,2009,1,40 to 44 years,161009.5206341399
Alabama,2009,1,45 to 49 years,170636.14879523223
Alabama,2009,1,5 to 9 years,159227.5595744306
Alabama,2009,1,50 to 54 years,165161.035578913
Alabama,2009,1,55 to 59 years,144970.8614870908
Alabama,2009,1,60 and 61 years,56009.10580647708
Alabama,2009,1,62 to 64 years,67815.48123550841
Alabama,2009,1,65 and 66 years,41686.78309087602
Alabama,2009,1,67 to 69 years,51166.00824079695
Alabama,2009,1,70 to 74 years,70062.87235103978
Alabama,2009,1,75 to 79 years,50799.51993219952
Alabama,2009,1,80 to 84 years,33414.04149129651
Alabama,2009,1,85 years and over,21544.060653335033
Alabama,2009,1,Under 5 years,155769.6464698956
Alabama,2009,2,10 to 14 years,155387.00440664924
Alabama,2009,2,15 to 17 years,98360.21205729003
Alabama,2009,2,18 and 19 years,71189.59673780215
Alabama,2009,2,20 years,35798.73952134372
Alabama,2009,2,21 years,35242.44459562145
Alabama,2009,2,22 to 24 years,95423.25754018279
Alabama,2009,2,25 to 29 years,157442.56968572465
Alabama,2009,2,30 to 34 years,148952.76200805022
Alabama,2009,2,35 to 39 years,159723.27792021944
Alabama,2009,2,40 to 44 years,165937.42541172684
Alabama,2009,2,45 to 49 years,180492.96796007172
Alabama,2009,2,5 to 9 years,154356.19293811487
Alabama,2009,2,50 to 54 years,175710.44697432505
Alabama,2009,2,55 to 59 years,159089.2430502492
Alabama,2009,2,60 and 61 years,58447.313148798836
Alabama,2009,2,62 to 64 years,76067.02103211122
Alabama,2009,2,65 and 66 years,44923.5916786539
Alabama,2009,2,67 to 69 years,61316.623818313725
Alabama,2009,2,70 to 74 years,87472.58142391617
Alabama,2009,2,75 to 79 years,70806.95467455579
Alabama,2009,2,80 to 84 years,55126.70695877967
Alabama,2009,2,85 years and over,53001.47861278079
Alabama,2009,2,Under 5 years,149797.805298122
Alabama,2010,1,10 to 14 years,165600.13573846227
Alabama,2010,1,15 to 17 years,106248.26560167514
Alabama,2010,1,18 and 19 years,72630.87244270793
Alabama,2010,1,20 years,38202.137015450535
Alabama,2010,1,21 years,34720.16875766951
