timeframe,group,category,year,metric,value,segment
Mid-year,all_sports,35-44,2011,participants,157819.38881079238,age
Mid-year,all_sports,35-44,2012,participants,156753.55977857835,age
Mid-year,all_sports,35-44,2013,participants,161745.53997841087,age
Mid-year,all_sports,35-44,2014,participants,163884.52581985653,age
Mid-year,all_sports,35-44,2014,recruits,57523.25913500271,age
Mid-year,fish,35-44,2009,participants,115491.91553293903,age
Mid-year,fish,35-44,2010,participants,137493.98157463068,age
Mid-year,fish,35-44,2011,participants,154694.8007577644,age
Mid-year,fish,35-44,2012,participants,153723.86271291677,age
Mid-year,fish,35-44,2013,participants,158894.61867757683,age
Mid-year,fish,35-44,2014,participants,161142.03069001113,age
Mid-year,fish,35-44,2014,recruits,57636.18436969479,age
Mid-year,hunt,35-44,2009,participants,18601.10606038852,age
Mid-year,hunt,35-44,2010,participants,17940.268345015018,age
Mid-year,hunt,35-44,2011,participants,17615.490908042164,age
Mid-year,hunt,35-44,2012,participants,16549.204872971426,age
Mid-year,hunt,35-44,2013,participants,17343.501945207714,age
Mid-year,hunt,35-44,2014,participants,16768.560427454006,age
Mid-year,hunt,35-44,2014,recruits,4409.522802240955,age
Mid-year,hunt,35-44,2015,participants,16458.783860351192,age
Mid-year,hunt,35-44,2016,participants,16197.243380555534,age
Mid-year,hunt,35-44,2017,participants,15935.702900759876,age
Mid-year,hunt,35-44,2018,participants,15674.162420964218,age
Mid-year,hunt,35-44,2019,participants,15412.62194116856,age
Mid-year,hunt,35-44,2015,recruits,4328.062807976726,age
Mid-year,hunt,35-44,2016,recruits,4259.2871540166025,age
Mid-year,hunt,35-44,2017,recruits,4190.511500056479,age
Mid-year,hunt,35-44,2018,recruits,4121.735846096356,age
Mid-year,hunt,35-44,2019,recruits,4052.9601921362328,age
Mid-year,fish,35-44,2015,participants,168638.63372775353,age
Mid-year,fish,35-44,2016,participants,173788.22534281015,age
Mid-year,fish,35-44,2017,participants,178937.81695786864,age
Mid-year,fish,35-44,2018,participants,184087.40857292525,age
Mid-year,fish,35-44,2019,participants,189237.00018798187,age
Mid-year,fish,35-44,2015,recruits,60317.51830212437,age
Mid-year,fish,35-44,2016,recruits,62159.38916898093,age
Mid-year,fish,35-44,2017,recruits,64001.26003583816,age
Mid-year,fish,35-44,2018,recruits,65843.13090269473,age
Mid-year,fish,35-44,2019,recruits,67685.00176955128,age
Mid-year,all_sports,35-44,2015,participants,171113.60891266912,age
Mid-year,all_sports,35-44,2016,participants,176065.35178987123,age
Mid-year,all_sports,35-44,2017,participants,181017.09466707334,age
Mid-year,all_sports,35-44,2018,participants,185968.83754427545,age
Mid-year,all_sports,35-44,2019,participants,190920.58042147756,age
Mid-year,all_sports,35-44,2015,recruits,60060.65806254649,age
Mid-year,all_sports,35-44,2016,recruits,61798.713484620326,age
Mid-year,all_sports,35-44,2017,recruits,63536.76890669416,age
Mid-year,all_sports,35-44,2018,recruits,65274.82432876799,age
Mid-year,all_sports,35-44,2019,recruits,67012.87975084182,age
Mid-year,all_sports,45-54,2009,participants,139142.75500338714,age
Mid-year,all_sports,45-54,2010,participants,169140.82497259436,age
Mid-year,all_sports,45-54,2011,participants,188067.81189465275,age
Mid-year,all_sports,45-54,2012,participants,187582.6337732065,age
Mid-year,all_sports,45-54,2013,participants,195299.75762881542,age
Mid-year,all_sports,45-54,2014,participants,196688.64041978773,age
Mid-year,all_sports,45-54,2014,recruits,61681.8045975743,age
Mid-year,fish,45-54,2009,participants,135699.1258035872,age
Mid-year,fish,45-54,2010,participants,165802.9260556924,age
Mid-year,fish,45-54,2011,participants,185028.12890731366,age
Mid-year,fish,45-54,2012,participants,184647.39240222363,age
Mid-year,fish,45-54,2013,participants,192365.72465643816,age
Mid-year,fish,45-54,2014,participants,193816.09694107968,age
Mid-year,fish,45-54,2014,recruits,61715.16141075484,age
Mid-year,hunt,45-54,2009,participants,18689.64843716349,age
Mid-year,hunt,45-54,2010,participants,18784.032041195824,age
Mid-year,hunt,45-54,2011,participants,18721.502876836777,age
Mid-year,hunt,45-54,2012,participants,18361.87987626992,age
Mid-year,hunt,45-54,2013,participants,19350.65032510814,age
Mid-year,hunt,45-54,2014,participants,18506.05814145643,age
Mid-year,hunt,45-54,2014,recruits,3949.929682182313,age
Mid-year,hunt,45-54,2015,participants,18766.784546811185,age
Mid-year,hunt,45-54,2016,participants,18774.10451169044,age
Mid-year,hunt,45-54,2017,participants,18781.424476569693,age
Mid-year,hunt,45-54,2018,participants,18788.744441448947,age
Mid-year,hunt,45-54,2019,participants,18796.064406328205,age
Mid-year,hunt,45-54,2015,recruits,4005.5790786970915,age
Mid-year,hunt,45-54,2016,recruits,4007.141450668912,age
Mid-year,hunt,45-54,2017,recruits,4008.703822640733,age
Mid-year,hunt,45-54,2018,recruits,4010.266194612554,age
Mid-year,hunt,45-54,2019,recruits,4011.8285665843755,age
Mid-year,fish,45-54,2015,participants,203341.2350485213,age
Mid-year,fish,45-54,2016,participants,209677.6288005095,age
Mid-year,fish,45-54,2017,participants,216014.02255249955,age
Mid-year,fish,45-54,2018,participants,222350.4163044896,age
Mid-year,fish,45-54,2019,participants,228686.81005647965,age
Mid-year,fish,45-54,2015,recruits,64748.16767307369,age
Mid-year,fish,45-54,2016,recruits,66765.81001206336,age
Mid-year,fish,45-54,2017,recruits,68783.45235105364,age
Mid-year,fish,45-54,2018,recruits,70801.0946900439,age
Mid-year,fish,45-54,2019,recruits,72818.73702903416,age
Mid-year,all_sports,45-54,2015,participants,206054.20672637783,age
Mid-year,all_sports,45-54,2016,participants,212286.96438923106,age
Mid-year,all_sports,45-54,2017,participants,218519.72205208614,age
Mid-year,all_sports,45-54,2018,participants,224752.47971494123,age
Mid-year,all_sports,45-54,2019,participants,230985.23737779632,age
Mid-year,all_sports,45-54,2015,recruits,64618.85795071039,age
Mid-year,all_sports,45-54,2016,recruits,66573.45857962129,age
Mid-year,all_sports,45-54,2017,recruits,68528.05920853277,age
Mid-year,all_sports,45-54,2018,recruits,70482.65983744425,age
Mid-year,all_sports,45-54,2019,recruits,72437.26046635574,age
Mid-year,all_sports,55-64,2009,participants,116151.93486100942,age
Mid-year,all_sports,55-64,2010,participants,140370.66040945146,age
Mid-year,all_sports,55-64,2011,participants,157346.62788913288,age
Mid-year,all_sports,55-64,2012,participants,161937.6881393664,age
Mid-year,all_sports,55-64,2013,participants,170311.73068427303,age
Mid-year,all_sports,55-64,2014,participants,176007.3760567481,age
Mid-year,all_sports,55-64,2014,recruits,52150.46406144814,age
Mid-year,fish,55-64,2009,participants,114035.34581973932,age
Mid-year,fish,55-64,2010,participants,138174.24297237516,age
Mid-year,fish,55-64,2011,participants,155213.11581243438,age
Mid-year,fish,55-64,2012,participants,159897.12319900887,age
Mid-year,fish,55-64,2013,participants,168417.8396647347,age
Mid-year,fish,55-64,2014,participants,173959.207168664,age
Mid-year,fish,55-64,2014,recruits,52077.812499540676,age
Mid-year,hunt,55-64,2009,participants,12534.923688782323,age
Mid-year,hunt,55-64,2010,participants,12691.440766700043,age
Mid-year,hunt,55-64,2011,participants,12923.475680274561,age
Mid-year,hunt,55-64,2012,participants,13058.510723762332,age
Mid-year,hunt,55-64,2013,participants,13703.085765976548,age
Mid-year,hunt,55-64,2014,participants,13798.567312988873,age
Mid-year,hunt,55-64,2014,recruits,2952.5376197706687,age
Mid-year,hunt,55-64,2015,participants,14133.175003424403,age
Mid-year,hunt,55-64,2016,participants,14432.561321252375,age
Mid-year,hunt,55-64,2017,participants,14731.94763908023,age
Mid-year,hunt,55-64,2018,participants,15031.333956908202,age
Mid-year,hunt,55-64,2019,participants,15330.720274736173,age
Mid-year,hunt,55-64,2015,recruits,3024.135037927662,age
Mid-year,hunt,55-64,2016,recruits,3088.1959905020367,age
Mid-year,hunt,55-64,2017,recruits,3152.2569430763874,age
Mid-year,hunt,55-64,2018,recruits,3216.3178956507622,age
Mid-year,hunt,55-64,2019,recruits,3280.3788482251375,age
Mid-year,fish,55-64,2015,participants,184564.70143691078,age
Mid-year,fish,55-64,2016,participants,193042.16666139662,age
Mid-year,fish,55-64,2017,participants,201519.63188588247,age
Mid-year,fish,55-64,2018,participants,209997.09711037204,age
Mid-year,fish,55-64,2019,participants,218474.56233485788,age
Mid-year,fish,55-64,2015,recruits,55252.75765453446,age
Mid-year,fish,55-64,2016,recruits,57790.63910167224,age
Mid-year,fish,55-64,2017,recruits,60328.520548810026,age
Mid-year,fish,55-64,2018,recruits,62866.40199594892,age
Mid-year,fish,55-64,2019,recruits,65404.28344308671,age
Mid-year,all_sports,55-64,2015,participants,186466.37686271966,age
Mid-year,all_sports,55-64,2016,participants,194890.2302716896,age
Mid-year,all_sports,55-64,2017,participants,203314.08368066326,age
Mid-year,all_sports,55-64,2018,participants,211737.93708963692,age
Mid-year,all_sports,55-64,2019,participants,220161.7904986106,age
Mid-year,all_sports,55-64,2015,recruits,55249.43501295313,age
Mid-year,all_sports,55-64,2016,recruits,57745.397820339975,age
Mid-year,all_sports,55-64,2017,recruits,60241.36062772793,age
Mid-year,all_sports,55-64,2018,recruits,62737.32343511589,age
Mid-year,all_sports,55-64,2019,recruits,65233.28624250384,age
Mid-year,all_sports,All,2009,participants,524249,all
Mid-year,all_sports,All,2010,participants,635498,all
Mid-year,all_sports,All,2011,participants,722658,all
Mid-year,all_sports,All,2012,participants,730908,all
Mid-year,all_sports,All,2013,participants,772300,all
Mid-year,all_sports,All,2014,participants,790769,all
Mid-year,all_sports,All,2014,recruits,282120,all
Mid-year,fish,All,2009,participants,510947,all
Mid-year,fish,All,2010,participants,622060,all
Mid-year,fish,All,2011,participants,710492,all
Mid-year,fish,All,2012,participants,718919,all
Mid-year,fish,All,2013,participants,760331,all
Mid-year,fish,All,2014,participants,778689,all
Mid-year,fish,All,2014,recruits,282526,all
Mid-year,hunt,All,2009,participants,71708,all
Mid-year,hunt,All,2010,participants,71936,all
Mid-year,hunt,All,2011,participants,71748,all
Mid-year,hunt,All,2012,participants,70656,all
Mid-year,hunt,All,2013,participants,76137,all
Mid-year,hunt,All,2014,participants,75146,all
Mid-year,hunt,All,2014,recruits,20461,all
Mid-year,hunt,All,2015,participants,76367.29999999981,all
Mid-year,hunt,All,2016,participants,77448.19999999972,all
Mid-year,hunt,All,2017,participants,78529.09999999963,all
Mid-year,hunt,All,2018,participants,79609.99999999953,all
Mid-year,hunt,All,2019,participants,80690.89999999944,all
Mid-year,hunt,All,2015,recruits,20793.539580283665,all
Mid-year,hunt,All,2016,recruits,21087.85058685751,all
Mid-year,hunt,All,2017,recruits,21382.161593431352,all
Mid-year,hunt,All,2018,recruits,21676.4726000052,all
Mid-year,hunt,All,2019,recruits,21970.783606579043,all
Mid-year,fish,All,2015,participants,827027.3000000119,all
Mid-year,fish,All,2016,participants,863337.0000000149,all
Mid-year,fish,All,2017,participants,899646.700000003,all
Mid-year,fish,All,2018,participants,935956.400000006,all
Mid-year,fish,All,2019,participants,972266.1000000089,all
Mid-year,fish,All,2015,recruits,300064.22969863884,all
Mid-year,fish,All,2016,recruits,313238.21096998185,all
Mid-year,fish,All,2017,recruits,326412.1922413195,all
Mid-year,fish,All,2018,recruits,339586.1735126626,all
Mid-year,fish,All,2019,recruits,352760.1547840056,all
Mid-year,all_sports,All,2015,participants,838481.8000000119,all
Mid-year,all_sports,All,2016,participants,874500.200000003,all
Mid-year,all_sports,All,2017,participants,910518.6000000089,all
Mid-year,all_sports,All,2018,participants,946537,all
Mid-year,all_sports,All,2019,participants,982555.400000006,all
Mid-year,all_sports,All,2015,recruits,299142.3353925146,all
Mid-year,all_sports,All,2016,recruits,311992.4989775786,all
Mid-year,all_sports,All,2017,recruits,324842.6625626479,all
Mid-year,all_sports,All,2018,recruits,337692.82614771195,all
Mid-year,all_sports,All,2019,recruits,350542.98973278125,all
Mid-year,all_sports,Female,2009,participants,114033,gender
Mid-year,all_sports,Female,2010,participants,133405,gender
Mid-year,all_sports,Female,2011,participants,163928,gender
Mid-year,all_sports,Female,2012,participants,165728,gender
Mid-year,all_sports,Female,2013,participants,175477,gender
Mid-year,all_sports,Female,2014,participants,183186,gender
Mid-year,all_sports,Female,2014,recruits,78306,gender
Mid-year,fish,Female,2009,participants,112802,gender
Mid-year,fish,Female,2010,participants,132213,gender
Mid-year,fish,Female,2011,participants,162789,gender
Mid-year,fish,Female,2012,participants,164552,gender
Mid-year,fish,Female,2013,participants,174291,gender
Mid-year,fish,Female,2014,participants,181872,gender
Mid-year,fish,Female,2014,recruits,78415,gender
Mid-year,hunt,Female,2009,participants,5170,gender
Mid-year,hunt,Female,2010,participants,5169,gender
Mid-year,hunt,Female,2011,participants,5374,gender
Mid-year,hunt,Female,2012,participants,5482,gender
Mid-year,hunt,Female,2013,participants,6518,gender
Mid-year,hunt,Female,2014,participants,6795,gender
Mid-year,hunt,Female,2014,recruits,2747,gender
Mid-year,hunt,Female,2015,participants,7186.40000000014,gender
Mid-year,hunt,Female,2016,participants,7626.000000000116,gender
Mid-year,hunt,Female,2017,participants,8065.600000000093,gender
Mid-year,hunt,Female,2018,participants,8505.20000000007,gender
Mid-year,hunt,Female,2019,participants,8944.79999999993,gender
Mid-year,hunt,Female,2015,recruits,2905.2304341428085,gender
Mid-year,hunt,Female,2016,recruits,3082.946578366493,gender
Mid-year,hunt,Female,2017,recruits,3260.6627225901775,gender
Mid-year,hunt,Female,2018,recruits,3438.3788668138623,gender
Mid-year,hunt,Female,2019,recruits,3616.0950110374993,gender
Mid-year,fish,Female,2015,participants,196389.40000000224,gender
Mid-year,fish,Female,2016,participants,207471.40000000224,gender
Mid-year,fish,Female,2017,participants,218553.40000000224,gender
Mid-year,fish,Female,2018,participants,229635.3999999985,gender
Mid-year,fish,Female,2019,participants,240717.3999999985,gender
Mid-year,fish,Female,2015,recruits,84674.24782814382,gender
Mid-year,fish,Female,2016,recruits,89452.30618786936,gender
Mid-year,fish,Female,2017,recruits,94230.36454759487,gender
Mid-year,fish,Female,2018,recruits,99008.42290731879,gender
Mid-year,fish,Female,2019,recruits,103786.4812670443,gender
Mid-year,all_sports,Female,2015,participants,197678.10000000522,gender
Mid-year,all_sports,Female,2016,participants,208789.2000000067,gender
Mid-year,all_sports,Female,2017,participants,219900.30000000447,gender
Mid-year,all_sports,Female,2018,participants,231011.40000000596,gender
Mid-year,all_sports,Female,2019,participants,242122.50000000373,gender
Mid-year,all_sports,Female,2015,recruits,84500.89689496145,gender
Mid-year,all_sports,Female,2016,recruits,89250.52730667478,gender
Mid-year,all_sports,Female,2017,recruits,94000.1577183865,gender
Mid-year,all_sports,Female,2018,recruits,98749.78813009983,gender
Mid-year,all_sports,Female,2019,recruits,103499.41854181157,gender
Mid-year,all_sports,Male,2009,participants,410216,gender
Mid-year,all_sports,Male,2010,participants,502093,gender
Mid-year,all_sports,Male,2011,participants,558730,gender
Mid-year,all_sports,Male,2012,participants,565180,gender
Mid-year,all_sports,Male,2013,participants,596823,gender
Mid-year,all_sports,Male,2014,participants,607583,gender
Mid-year,all_sports,Male,2014,recruits,203814,gender
Mid-year,fish,Male,2009,participants,398145,gender
Mid-year,fish,Male,2010,participants,489847,gender
Mid-year,fish,Male,2011,participants,547703,gender
Mid-year,fish,Male,2012,participants,554367,gender
Mid-year,fish,Male,2013,participants,586040,gender
Mid-year,fish,Male,2014,participants,596817,gender
Mid-year,fish,Male,2014,recruits,204111,gender
Mid-year,hunt,Male,2009,participants,66538,gender
Mid-year,hunt,Male,2010,participants,66767,gender
Mid-year,hunt,Male,2011,participants,66374,gender
Mid-year,hunt,Male,2012,participants,65174,gender
Mid-year,hunt,Male,2013,participants,69619,gender
Mid-year,hunt,Male,2014,participants,68351,gender
Mid-year,hunt,Male,2014,recruits,17714,gender
Mid-year,hunt,Male,2015,participants,69180.8999999999,gender
Mid-year,hunt,Male,2016,participants,69822.19999999995,gender
Mid-year,hunt,Male,2017,participants,70463.49999999977,gender
Mid-year,hunt,Male,2018,participants,71104.79999999958,gender
Mid-year,hunt,Male,2019,participants,71746.09999999963,gender
Mid-year,hunt,Male,2015,recruits,17929.07876402684,gender
Mid-year,hunt,Male,2016,recruits,18095.27952480577,gender
Mid-year,hunt,Male,2017,recruits,18261.480285584643,gender
Mid-year,hunt,Male,2018,recruits,18427.681046363516,gender
Mid-year,hunt,Male,2019,recruits,18593.881807142447,gender
Mid-year,fish,Male,2015,participants,630637.8999999985,gender
Mid-year,fish,Male,2016,participants,655865.599999994,gender
Mid-year,fish,Male,2017,participants,681093.299999997,gender
Mid-year,fish,Male,2018,participants,706320.9999999925,gender
Mid-year,fish,Male,2019,participants,731548.6999999955,gender
Mid-year,fish,Male,2015,recruits,215677.72433911852,gender
Mid-year,fish,Male,2016,recruits,224305.58023916674,gender
Mid-year,fish,Male,2017,recruits,232933.43613921752,gender
Mid-year,fish,Male,2018,recruits,241561.29203926577,gender
Mid-year,fish,Male,2019,recruits,250189.14793931655,gender
Mid-year,all_sports,Male,2015,participants,640803.700000003,gender
Mid-year,all_sports,Male,2016,participants,665711.0000000075,gender
Mid-year,all_sports,Male,2017,participants,690618.3000000045,gender
Mid-year,all_sports,Male,2018,participants,715525.6000000015,gender
Mid-year,all_sports,Male,2019,participants,740432.8999999985,gender
Mid-year,all_sports,Male,2015,recruits,214957.8992694012,gender
Mid-year,all_sports,Male,2016,recruits,223313.06464137658,gender
Mid-year,all_sports,Male,2017,recruits,231668.23001334944,gender
Mid-year,all_sports,Male,2018,recruits,240023.39538532234,gender
Mid-year,all_sports,Male,2019,recruits,248378.5607572952,gender
Mid-year,all_sports,Nonresident,2009,participants,76397,residency
Mid-year,all_sports,Nonresident,2010,participants,180257,residency
Mid-year,all_sports,Nonresident,2011,participants,200326,residency
Mid-year,all_sports,Nonresident,2012,participants,215066,residency
Mid-year,all_sports,Nonresident,2013,participants,252096,residency
Mid-year,all_sports,Nonresident,2014,participants,262294,residency
Mid-year,all_sports,Nonresident,2015,participants,266253,residency
Mid-year,all_sports,Nonresident,2016,participants,291483,residency
Mid-year,all_sports,Nonresident,2017,participants,300782,residency
Mid-year,all_sports,Nonresident,2018,participants,301001,residency
Mid-year,all_sports,Nonresident,2019,participants,315796,residency
Mid-year,all_sports,Nonresident,2014,recruits,131580,residency
Mid-year,all_sports,Nonresident,2015,recruits,129915,residency
Mid-year,all_sports,Nonresident,2016,recruits,137918,residency
Mid-year,all_sports,Nonresident,2017,recruits,137714,residency
Mid-year,all_sports,Nonresident,2018,recruits,134430,residency
Mid-year,all_sports,Nonresident,2019,recruits,142259,residency
Mid-year,fish,Nonresident,2009,participants,74031,residency
Mid-year,fish,Nonresident,2010,participants,177360,residency
Mid-year,fish,Nonresident,2011,participants,197577,residency
Mid-year,fish,Nonresident,2012,participants,212273,residency
Mid-year,fish,Nonresident,2013,participants,248886,residency
Mid-year,fish,Nonresident,2014,participants,258832,residency
Mid-year,fish,Nonresident,2015,participants,263045,residency
Mid-year,fish,Nonresident,2016,participants,287901,residency
Mid-year,fish,Nonresident,2017,participants,297228,residency
Mid-year,fish,Nonresident,2018,participants,297247,residency
Mid-year,fish,Nonresident,2019,participants,311491,residency
Mid-year,fish,Nonresident,2014,recruits,130260,residency
Mid-year,fish,Nonresident,2015,recruits,128746,residency
Mid-year,fish,Nonresident,2016,recruits,136600,residency
Mid-year,fish,Nonresident,2017,recruits,136511,residency
Mid-year,fish,Nonresident,2018,recruits,133097,residency
Mid-year,fish,Nonresident,2019,recruits,140746,residency
Mid-year,hunt,Nonresident,2009,participants,3107,residency
Mid-year,hunt,Nonresident,2010,participants,3955,residency
Mid-year,hunt,Nonresident,2011,participants,3925,residency
Mid-year,hunt,Nonresident,2012,participants,3999,residency
Mid-year,hunt,Nonresident,2013,participants,4572,residency
Mid-year,hunt,Nonresident,2014,participants,4957,residency
Mid-year,hunt,Nonresident,2015,participants,4633,residency
Mid-year,hunt,Nonresident,2016,participants,5411,residency
Mid-year,hunt,Nonresident,2017,participants,5390,residency
Mid-year,hunt,Nonresident,2018,participants,5670,residency
Mid-year,hunt,Nonresident,2019,participants,5611,residency
Mid-year,hunt,Nonresident,2014,recruits,2737,residency
Mid-year,hunt,Nonresident,2015,recruits,2489,residency
Mid-year,hunt,Nonresident,2016,recruits,2919,residency
Mid-year,hunt,Nonresident,2017,recruits,2811,residency
Mid-year,hunt,Nonresident,2018,recruits,2925,residency
Mid-year,hunt,Nonresident,2019,recruits,3e3,residency
Mid-year,all_sports,Resident,2009,participants,447852,residency
Mid-year,all_sports,Resident,2010,participants,455241,residency
Mid-year,all_sports,Resident,2011,participants,522332,residency
Mid-year,all_sports,Resident,2012,participants,515842,residency
Mid-year,all_sports,Resident,2013,participants,520204,residency
Mid-year,all_sports,Resident,2014,participants,528475,residency
Mid-year,all_sports,Resident,2014,recruits,150540,residency
Mid-year,fish,Resident,2009,participants,436916,residency
Mid-year,fish,Resident,2010,participants,444700,residency
Mid-year,fish,Resident,2011,participants,512915,residency
Mid-year,fish,Resident,2012,participants,506646,residency
Mid-year,fish,Resident,2013,participants,511445,residency
Mid-year,fish,Resident,2014,participants,519857,residency
Mid-year,fish,Resident,2014,recruits,152266,residency
Mid-year,hunt,Resident,2009,participants,68601,residency
Mid-year,hunt,Resident,2010,participants,67981,residency
Mid-year,hunt,Resident,2011,participants,67823,residency
Mid-year,hunt,Resident,2012,participants,66657,residency
Mid-year,hunt,Resident,2013,participants,71565,residency
