"","region","state","timeframe","group","metric","segment","year","category","value","aggregation","states_included"
"1","Southeast","FL","mid-year","all_sports","participants","age",2010,"18-24",66439.5575291923,"NONE",NA
"2","Southeast","FL","mid-year","all_sports","participants","age",2011,"18-24",80986.9458948761,"NONE",NA
"3","Southeast","FL","mid-year","all_sports","participants","age",2012,"18-24",83246.7186524537,"NONE",NA
"4","Southeast","FL","mid-year","all_sports","participants","age",2013,"18-24",91905.5227935643,"NONE",NA
"5","Southeast","FL","mid-year","all_sports","participants","age",2014,"18-24",94111.1598845981,"NONE",NA
"6","Southeast","FL","mid-year","all_sports","participants","age",2015,"18-24",95205.7028992845,"NONE",NA
"7","Southeast","FL","mid-year","all_sports","participants","age",2016,"18-24",94459.2175259064,"NONE",NA
"8","Southeast","FL","mid-year","all_sports","participants","age",2017,"18-24",94353.9277030695,"NONE",NA
"9","Southeast","FL","mid-year","all_sports","participants","age",2018,"18-24",88661.9274153256,"NONE",NA
"10","Southeast","FL","mid-year","all_sports","participants","age",2019,"18-24",92361.2810879995,"NONE",NA
"11","Southeast","FL","mid-year","all_sports","participants - recruited","age",2014,"18-24",46643.7901846313,"NONE",NA
"12","Southeast","FL","mid-year","all_sports","participants - recruited","age",2015,"18-24",46241.3245596768,"NONE",NA
"13","Southeast","FL","mid-year","all_sports","participants - recruited","age",2016,"18-24",45142.5356255223,"NONE",NA
"14","Southeast","FL","mid-year","all_sports","participants - recruited","age",2017,"18-24",43544.6122692869,"NONE",NA
"15","Southeast","FL","mid-year","all_sports","participants - recruited","age",2018,"18-24",39733.7470681321,"NONE",NA
"16","Southeast","FL","mid-year","all_sports","participants - recruited","age",2019,"18-24",42653.9664490113,"NONE",NA
"17","Southeast","FL","mid-year","fish","participants","age",2010,"18-24",64889.9497655118,"NONE",NA
"18","Southeast","FL","mid-year","fish","participants","age",2011,"18-24",79602.2260508448,"NONE",NA
"19","Southeast","FL","mid-year","fish","participants","age",2012,"18-24",81816.2512291244,"NONE",NA
"20","Southeast","FL","mid-year","fish","participants","age",2013,"18-24",90378.7690638566,"NONE",NA
"21","Southeast","FL","mid-year","fish","participants","age",2014,"18-24",92479.1833497315,"NONE",NA
"22","Southeast","FL","mid-year","fish","participants","age",2015,"18-24",93882.0157340075,"NONE",NA
"23","Southeast","FL","mid-year","fish","participants","age",2016,"18-24",93108.3397836615,"NONE",NA
"24","Southeast","FL","mid-year","fish","participants","age",2017,"18-24",93048.4530184317,"NONE",NA
"25","Southeast","FL","mid-year","fish","participants","age",2018,"18-24",87278.1655711603,"NONE",NA
"26","Southeast","FL","mid-year","fish","participants","age",2019,"18-24",90691.4212087308,"NONE",NA
"27","Southeast","FL","mid-year","fish","participants - recruited","age",2014,"18-24",46890.0679655175,"NONE",NA
"28","Southeast","FL","mid-year","fish","participants - recruited","age",2015,"18-24",46534.6656659452,"NONE",NA
"29","Southeast","FL","mid-year","fish","participants - recruited","age",2016,"18-24",45353.0176204765,"NONE",NA
"30","Southeast","FL","mid-year","fish","participants - recruited","age",2017,"18-24",43743.269243529,"NONE",NA
"31","Southeast","FL","mid-year","fish","participants - recruited","age",2018,"18-24",39770.5485384338,"NONE",NA
"32","Southeast","FL","mid-year","fish","participants - recruited","age",2019,"18-24",42687.3885813239,"NONE",NA
"33","Southeast","FL","mid-year","hunt","participants","age",2010,"18-24",8139.23272779288,"NONE",NA
"34","Southeast","FL","mid-year","hunt","participants","age",2011,"18-24",8159.03684369908,"NONE",NA
"35","Southeast","FL","mid-year","hunt","participants","age",2012,"18-24",8289.6217436559,"NONE",NA
"36","Southeast","FL","mid-year","hunt","participants","age",2013,"18-24",9221.69720053323,"NONE",NA
"37","Southeast","FL","mid-year","hunt","participants","age",2014,"18-24",9403.59840806434,"NONE",NA
"38","Southeast","FL","mid-year","hunt","participants","age",2015,"18-24",8410.20680694342,"NONE",NA
"39","Southeast","FL","mid-year","hunt","participants","age",2016,"18-24",7956.90317542291,"NONE",NA
"40","Southeast","FL","mid-year","hunt","participants","age",2017,"18-24",7705.11710053689,"NONE",NA
"41","Southeast","FL","mid-year","hunt","participants","age",2018,"18-24",7665.70650068119,"NONE",NA
"42","Southeast","FL","mid-year","hunt","participants","age",2019,"18-24",5167.7207787379,"NONE",NA
"43","Southeast","FL","mid-year","hunt","participants - recruited","age",2014,"18-24",3649.9621446149,"NONE",NA
"44","Southeast","FL","mid-year","hunt","participants - recruited","age",2015,"18-24",3263.71000940955,"NONE",NA
"45","Southeast","FL","mid-year","hunt","participants - recruited","age",2016,"18-24",2988.8430396772,"NONE",NA
"46","Southeast","FL","mid-year","hunt","participants - recruited","age",2017,"18-24",2904.45563036917,"NONE",NA
"47","Southeast","FL","mid-year","hunt","participants - recruited","age",2018,"18-24",2788.69327948152,"NONE",NA
"48","Southeast","FL","mid-year","hunt","participants - recruited","age",2019,"18-24",2055.10544660043,"NONE",NA
"49","Southeast","FL","mid-year","all_sports","participants","age",2010,"25-34",118458.070071109,"NONE",NA
"50","Southeast","FL","mid-year","all_sports","participants","age",2011,"25-34",138437.225510546,"NONE",NA
"51","Southeast","FL","mid-year","all_sports","participants","age",2012,"25-34",141387.399656395,"NONE",NA
"52","Southeast","FL","mid-year","all_sports","participants","age",2013,"25-34",153037.448914936,"NONE",NA
"53","Southeast","FL","mid-year","all_sports","participants","age",2014,"25-34",160077.29781901,"NONE",NA
"54","Southeast","FL","mid-year","all_sports","participants","age",2015,"25-34",170762.665384096,"NONE",NA
"55","Southeast","FL","mid-year","all_sports","participants","age",2016,"25-34",172345.92196659,"NONE",NA
"56","Southeast","FL","mid-year","all_sports","participants","age",2017,"25-34",173137.750341739,"NONE",NA
"57","Southeast","FL","mid-year","all_sports","participants","age",2018,"25-34",167267.075686852,"NONE",NA
"58","Southeast","FL","mid-year","all_sports","participants","age",2019,"25-34",173300.541234513,"NONE",NA
"59","Southeast","FL","mid-year","all_sports","participants - recruited","age",2014,"25-34",64120.6820213435,"NONE",NA
"60","Southeast","FL","mid-year","all_sports","participants - recruited","age",2015,"25-34",66862.4417578898,"NONE",NA
"61","Southeast","FL","mid-year","all_sports","participants - recruited","age",2016,"25-34",66698.9632186153,"NONE",NA
"62","Southeast","FL","mid-year","all_sports","participants - recruited","age",2017,"25-34",63842.8055703094,"NONE",NA
"63","Southeast","FL","mid-year","all_sports","participants - recruited","age",2018,"25-34",59374.2975385628,"NONE",NA
"64","Southeast","FL","mid-year","all_sports","participants - recruited","age",2019,"25-34",62810.675462903,"NONE",NA
