timeframe,group,segment,year,category,metric,value,state
full-year,hunt,All,2009,All,participants,451565,MO
full-year,hunt,All,2010,All,participants,445652,MO
full-year,hunt,All,2011,All,participants,443236,MO
full-year,hunt,All,2012,All,participants,447554,MO
full-year,hunt,All,2013,All,participants,448994,MO
full-year,hunt,All,2014,All,participants,449389,MO
full-year,hunt,All,2015,All,participants,447070,MO
full-year,hunt,All,2016,All,participants,437444,MO
full-year,hunt,All,2017,All,participants,431953,MO
full-year,hunt,All,2018,All,participants,423719,MO
full-year,hunt,Residency,2009,Resident,participants,412485,MO
full-year,hunt,Residency,2010,Resident,participants,407990,MO
full-year,hunt,Residency,2011,Resident,participants,405715,MO
full-year,hunt,Residency,2012,Resident,participants,408799,MO
full-year,hunt,Residency,2013,Resident,participants,409314,MO
full-year,hunt,Residency,2014,Resident,participants,407527,MO
full-year,hunt,Residency,2015,Resident,participants,402892,MO
full-year,hunt,Residency,2016,Resident,participants,392356,MO
full-year,hunt,Residency,2017,Resident,participants,385633,MO
full-year,hunt,Residency,2018,Resident,participants,376488,MO
full-year,hunt,Residency,2009,Nonresident,participants,39080,MO
full-year,hunt,Residency,2010,Nonresident,participants,37662,MO
full-year,hunt,Residency,2011,Nonresident,participants,37521,MO
full-year,hunt,Residency,2012,Nonresident,participants,38755,MO
full-year,hunt,Residency,2013,Nonresident,participants,39680,MO
full-year,hunt,Residency,2014,Nonresident,participants,41862,MO
full-year,hunt,Residency,2015,Nonresident,participants,44178,MO
full-year,hunt,Residency,2016,Nonresident,participants,45088,MO
full-year,hunt,Residency,2017,Nonresident,participants,46320,MO
full-year,hunt,Residency,2018,Nonresident,participants,47231,MO
full-year,hunt,Gender,2009,Male,participants,396944,MO
full-year,hunt,Gender,2010,Male,participants,390272,MO
full-year,hunt,Gender,2011,Male,participants,386509,MO
full-year,hunt,Gender,2012,Male,participants,387733,MO
full-year,hunt,Gender,2013,Male,participants,387737,MO
full-year,hunt,Gender,2014,Male,participants,385793,MO
full-year,hunt,Gender,2015,Male,participants,382760,MO
full-year,hunt,Gender,2016,Male,participants,374121,MO
full-year,hunt,Gender,2017,Male,participants,369430,MO
full-year,hunt,Gender,2018,Male,participants,363242,MO
full-year,hunt,Gender,2009,Female,participants,54621,MO
full-year,hunt,Gender,2010,Female,participants,55380,MO
full-year,hunt,Gender,2011,Female,participants,56727,MO
full-year,hunt,Gender,2012,Female,participants,59821,MO
full-year,hunt,Gender,2013,Female,participants,61257,MO
full-year,hunt,Gender,2014,Female,participants,63596,MO
full-year,hunt,Gender,2015,Female,participants,64310,MO
full-year,hunt,Gender,2016,Female,participants,63323,MO
full-year,hunt,Gender,2017,Female,participants,62523,MO
full-year,hunt,Gender,2018,Female,participants,60477,MO
full-year,hunt,Age,2009,18-24,participants,60214,MO
full-year,hunt,Age,2010,18-24,participants,59580,MO
full-year,hunt,Age,2011,18-24,participants,59988,MO
full-year,hunt,Age,2012,18-24,participants,61467,MO
full-year,hunt,Age,2013,18-24,participants,62271,MO
full-year,hunt,Age,2014,18-24,participants,62444,MO
full-year,hunt,Age,2015,18-24,participants,61501,MO
full-year,hunt,Age,2016,18-24,participants,59423,MO
full-year,hunt,Age,2017,18-24,participants,58684,MO
full-year,hunt,Age,2018,18-24,participants,57200,MO
full-year,hunt,Age,2009,25-34,participants,89530,MO
full-year,hunt,Age,2010,25-34,participants,88851,MO
full-year,hunt,Age,2011,25-34,participants,89615,MO
full-year,hunt,Age,2012,25-34,participants,91160,MO
full-year,hunt,Age,2013,25-34,participants,93328,MO
full-year,hunt,Age,2014,25-34,participants,94081,MO
full-year,hunt,Age,2015,25-34,participants,94e3,MO
full-year,hunt,Age,2016,25-34,participants,91903,MO
full-year,hunt,Age,2017,25-34,participants,90790,MO
full-year,hunt,Age,2018,25-34,participants,88948,MO
full-year,hunt,Age,2009,35-44,participants,100039,MO
full-year,hunt,Age,2010,35-44,participants,95401,MO
full-year,hunt,Age,2011,35-44,participants,92377,MO
full-year,hunt,Age,2012,35-44,participants,93271,MO
full-year,hunt,Age,2013,35-44,participants,93017,MO
full-year,hunt,Age,2014,35-44,participants,92709,MO
full-year,hunt,Age,2015,35-44,participants,91908,MO
full-year,hunt,Age,2016,35-44,participants,89393,MO
full-year,hunt,Age,2017,35-44,participants,88934,MO
full-year,hunt,Age,2018,35-44,participants,88755,MO
full-year,hunt,Age,2009,45-54,participants,119585,MO
full-year,hunt,Age,2010,45-54,participants,118014,MO
full-year,hunt,Age,2011,45-54,participants,115502,MO
full-year,hunt,Age,2012,45-54,participants,113443,MO
full-year,hunt,Age,2013,45-54,participants,110241,MO
full-year,hunt,Age,2014,45-54,participants,107437,MO
full-year,hunt,Age,2015,45-54,participants,104777,MO
full-year,hunt,Age,2016,45-54,participants,100258,MO
full-year,hunt,Age,2017,45-54,participants,96114,MO
full-year,hunt,Age,2018,45-54,participants,91223,MO
full-year,hunt,Age,2009,55-64,participants,82196,MO
full-year,hunt,Age,2010,55-64,participants,83806,MO
full-year,hunt,Age,2011,55-64,participants,85753,MO
full-year,hunt,Age,2012,55-64,participants,88214,MO
full-year,hunt,Age,2013,55-64,participants,90135,MO
full-year,hunt,Age,2014,55-64,participants,92717,MO
full-year,hunt,Age,2015,55-64,participants,94885,MO
full-year,hunt,Age,2016,55-64,participants,96468,MO
full-year,hunt,Age,2017,55-64,participants,97432,MO
full-year,hunt,Age,2018,55-64,participants,97594,MO
full-year,hunt,All,2014,All,recruits,48142,MO
full-year,hunt,All,2015,All,recruits,47097,MO
