"timeframe","group","segment","year","category","metric","value"
"full-year","hunt","Age",2012,"25-34","residents",49025
"full-year","hunt","Age",2013,"25-34","residents",51576
"full-year","hunt","Age",2014,"25-34","residents",51696
"full-year","hunt","Age",2015,"25-34","residents",52135
"full-year","hunt","Age",2016,"25-34","residents",53444
"full-year","hunt","Age",2010,"35-44","residents",57597
"full-year","hunt","Age",2011,"35-44","residents",58058
"full-year","hunt","Age",2012,"35-44","residents",57109
"full-year","hunt","Age",2013,"35-44","residents",57618
"full-year","hunt","Age",2014,"35-44","residents",56914
"full-year","hunt","Age",2015,"35-44","residents",56227
"full-year","hunt","Age",2016,"35-44","residents",55736
"full-year","hunt","Age",2010,"45-54","residents",55947
"full-year","hunt","Age",2011,"45-54","residents",57864
"full-year","hunt","Age",2012,"45-54","residents",57542
