timeframe,group,segment,category,year,metric,value
full-year,all_sports,age,18-24,2017,Recruits,80039.58836280662
full-year,all_sports,age,18-24,2018,Recruits,75473.92461407451
full-year,fish,age,18-24,2009,Participants,113219.85223916538
full-year,fish,age,18-24,2010,Participants,130568.86624752797
full-year,fish,age,18-24,2011,Participants,149937.80575761525
full-year,fish,age,18-24,2012,Participants,154243.0601654243
full-year,fish,age,18-24,2013,Participants,172737.050023559
full-year,fish,age,18-24,2014,Participants,178492.4765072423
full-year,fish,age,18-24,2015,Participants,181781.14860108565
full-year,fish,age,18-24,2016,Participants,179857.75034397794
full-year,fish,age,18-24,2017,Participants,177505.54458347
full-year,fish,age,18-24,2018,Participants,170398.33319766072
full-year,fish,age,18-24,2014,Recruits,88126.10888312123
full-year,fish,age,18-24,2015,Recruits,86347.35793499045
full-year,fish,age,18-24,2016,Recruits,83302.14540120676
full-year,fish,age,18-24,2017,Recruits,79791.18723835233
full-year,fish,age,18-24,2018,Recruits,75118.99065096285
full-year,hunt,age,18-24,2009,Participants,18395.866128637503
full-year,hunt,age,18-24,2010,Participants,18466.800414063182
full-year,hunt,age,18-24,2011,Participants,18104.21861725594
full-year,hunt,age,18-24,2012,Participants,18959.329151024584
full-year,hunt,age,18-24,2013,Participants,20763.99828099328
full-year,hunt,age,18-24,2014,Participants,21849.343264045237
full-year,hunt,age,18-24,2015,Participants,21632.673843806617
full-year,hunt,age,18-24,2016,Participants,21525.119812508747
full-year,hunt,age,18-24,2017,Participants,20735.387218625114
full-year,hunt,age,18-24,2018,Participants,20079.52022179058
full-year,hunt,age,18-24,2014,Recruits,8390.164361330271
full-year,hunt,age,18-24,2015,Recruits,6805.198314751345
full-year,hunt,age,18-24,2016,Recruits,6215.184707529201
full-year,hunt,age,18-24,2017,Recruits,5843.491892153541
full-year,hunt,age,18-24,2018,Recruits,5825.018090839107
full-year,all_sports,age,25-34,2010,churn,0.58735049021
full-year,all_sports,age,25-34,2011,churn,0.59406806338
full-year,all_sports,age,25-34,2012,churn,0.6053123005500001
full-year,all_sports,age,25-34,2013,churn,0.59120212655
full-year,all_sports,age,25-34,2014,churn,0.6045783891600001
full-year,all_sports,age,25-34,2015,churn,0.5983393216799999
full-year,all_sports,age,25-34,2016,churn,0.6049428701499999
full-year,all_sports,age,25-34,2017,churn,0.59789835483
full-year,all_sports,age,25-34,2018,churn,0.5882779070999999
full-year,fish,age,25-34,2010,churn,0.61765734722
full-year,fish,age,25-34,2011,churn,0.61904805363
full-year,fish,age,25-34,2012,churn,0.62787812503
full-year,fish,age,25-34,2013,churn,0.6118992513
full-year,fish,age,25-34,2014,churn,0.62347694945
full-year,fish,age,25-34,2015,churn,0.6149073464100001
full-year,fish,age,25-34,2016,churn,0.62026140158
full-year,fish,age,25-34,2017,churn,0.6126383387900001
full-year,fish,age,25-34,2018,churn,0.6025021804099999
full-year,hunt,age,25-34,2010,churn,0.41361131896000003
full-year,hunt,age,25-34,2011,churn,0.43081273988
full-year,hunt,age,25-34,2012,churn,0.42843579397
full-year,hunt,age,25-34,2013,churn,0.42017515406999995
full-year,hunt,age,25-34,2014,churn,0.44096371484999997
full-year,hunt,age,25-34,2015,churn,0.44179198352999993
full-year,hunt,age,25-34,2016,churn,0.40701635836000005
full-year,hunt,age,25-34,2017,churn,0.41197608152
full-year,hunt,age,25-34,2018,churn,0.39665749341
full-year,all_sports,age,25-34,2009,Participants,205959.60392448222
full-year,all_sports,age,25-34,2010,Participants,234470.79207274606
full-year,all_sports,age,25-34,2011,Participants,261592.452714343
full-year,all_sports,age,25-34,2012,Participants,268187.1473834084
full-year,all_sports,age,25-34,2013,Participants,296353.8754139919
full-year,all_sports,age,25-34,2014,Participants,310660.3261202125
full-year,all_sports,age,25-34,2015,Participants,327415.8498615031
full-year,all_sports,age,25-34,2016,Participants,329281.82156312093
full-year,all_sports,age,25-34,2017,Participants,324951.8371038235
full-year,all_sports,age,25-34,2018,Participants,322165.62829461455
full-year,all_sports,age,25-34,2014,Recruits,119806.81879034519
full-year,all_sports,age,25-34,2015,Recruits,124236.9326455822
full-year,all_sports,age,25-34,2016,Recruits,121391.18007224033
full-year,all_sports,age,25-34,2017,Recruits,114813.03845252295
full-year,all_sports,age,25-34,2018,Recruits,110618.04618513751
full-year,fish,age,25-34,2009,Participants,195928.51888425785
full-year,fish,age,25-34,2010,Participants,224556.1942383187
full-year,fish,age,25-34,2011,Participants,252444.08747644635
full-year,fish,age,25-34,2012,Participants,258775.44149634973
full-year,fish,age,25-34,2013,Participants,286746.71790930914
full-year,fish,age,25-34,2014,Participants,301310.94622096384
full-year,fish,age,25-34,2015,Participants,318737.677869066
full-year,fish,age,25-34,2016,Participants,320904.4382653149
full-year,fish,age,25-34,2017,Participants,316766.31032264896
full-year,fish,age,25-34,2018,Participants,314023.30935498385
full-year,fish,age,25-34,2014,Recruits,119302.6172694798
full-year,fish,age,25-34,2015,Recruits,123801.42039515615
full-year,fish,age,25-34,2016,Recruits,121065.67442345779
full-year,fish,age,25-34,2017,Recruits,114409.28180065592
full-year,fish,age,25-34,2018,Recruits,110147.207567901
full-year,hunt,age,25-34,2009,Participants,30284.16886417692
full-year,hunt,age,25-34,2010,Participants,30621.980007732505
full-year,hunt,age,25-34,2011,Participants,30530.164183525558
full-year,hunt,age,25-34,2012,Participants,31928.55835069033
full-year,hunt,age,25-34,2013,Participants,35510.19689058581
full-year,hunt,age,25-34,2014,Participants,36294.16957257797
full-year,hunt,age,25-34,2015,Participants,37304.703675979785
