state,year,sex,agecat,pop
AL,2008,Male,0-17,580395.3309235078
AL,2008,Male,18-24,237103.15441224058
AL,2008,Male,25-34,294052.2036187275
AL,2008,Male,35-44,311075.2457701621
AL,2008,Male,45-54,332993.0507915821
AL,2008,Male,55-64,266550.8247527771
AL,2008,Male,65+,266429.68212498655
AL,2008,Female,0-17,553242.3622597981
AL,2008,Female,18-24,235669.46645359482
AL,2008,Female,25-34,303836.7234649882
AL,2008,Female,35-44,322941.2162211884
AL,2008,Female,45-54,353228.87552632263
AL,2008,Female,55-64,291151.7888029476
AL,2008,Female,65+,369536.0748771764
AL,2009,Male,0-17,585282.8384397656
AL,2009,Male,18-24,239099.79943602867
AL,2009,Male,25-34,296528.4164322798
AL,2009,Male,35-44,313694.8095757568
AL,2009,Male,45-54,335797.18437414523
AL,2009,Male,55-64,268795.4485290763
AL,2009,Male,65+,268673.2857595438
AL,2009,Female,0-17,557901.2147001761
AL,2009,Female,18-24,237654.0383949501
AL,2009,Female,25-34,306395.3316937749
AL,2009,Female,35-44,325660.7033319463
AL,2009,Female,45-54,356203.41493439674
AL,2009,Female,55-64,293603.57723115926
AL,2009,Female,65+,372647.937167
AL,2010,Male,0-17,588666.8949124388
AL,2010,Male,18-24,240482.254500068
AL,2010,Male,25-34,298242.9189617478
AL,2010,Male,35-44,315508.5667561634
AL,2010,Male,45-54,337738.7356390278
AL,2010,Male,55-64,270349.6013551608
AL,2010,Male,65+,270226.73225070135
AL,2010,Female,0-17,561126.9529120658
AL,2010,Female,18-24,239028.1341894403
AL,2010,Female,25-34,308166.88390292425
AL,2010,Female,35-44,327543.64631032513
AL,2010,Female,45-54,358262.9533194798
AL,2010,Female,55-64,295301.1685847307
AL,2010,Female,65+,374802.5564057258
AL,2011,Male,0-17,585307.4094199297
AL,2011,Male,18-24,241876.22459885615
AL,2011,Male,25-34,299260.9886688023
AL,2011,Male,35-44,309616.93208780175
AL,2011,Male,45-54,338404.33205165586
AL,2011,Male,55-64,277575.67347428843
