timeframe,group,segment,category,year,metric,value,state
full-year,all_sports,age,18-24,2010,churn,0.6267410421099999,FL
full-year,all_sports,age,18-24,2011,churn,0.63597336081,FL
full-year,all_sports,age,18-24,2012,churn,0.64712405444,FL
full-year,all_sports,age,18-24,2013,churn,0.63438616826,FL
full-year,all_sports,age,18-24,2014,churn,0.64992276049,FL
full-year,all_sports,age,18-24,2015,churn,0.64392660137,FL
full-year,all_sports,age,18-24,2016,churn,0.64539244016,FL
full-year,all_sports,age,18-24,2017,churn,0.63391217373,FL
full-year,all_sports,age,18-24,2018,churn,0.630069902,FL
full-year,all_sports,age,18-24,2009,participants,119992.05849164964,FL
full-year,all_sports,age,18-24,2010,participants,137300.85056765878,FL
full-year,all_sports,age,18-24,2011,participants,156133.46702590567,FL
full-year,all_sports,age,18-24,2012,participants,160680.10699465044,FL
full-year,all_sports,age,18-24,2013,participants,179290.5158482234,FL
full-year,all_sports,age,18-24,2014,participants,184641.44716713487,FL
full-year,all_sports,age,18-24,2015,participants,187215.83445897757,FL
full-year,all_sports,age,18-24,2016,participants,185103.28426299334,FL
full-year,all_sports,age,18-24,2017,participants,182448.97990947787,FL
full-year,all_sports,age,18-24,2018,participants,175272.09463795004,FL
full-year,all_sports,age,18-24,2014,recruits,88456.3263519303,FL
full-year,all_sports,age,18-24,2015,recruits,86618.6405542208,FL
full-year,all_sports,age,18-24,2016,recruits,83606.0614002771,FL
full-year,all_sports,age,18-24,2017,recruits,80039.58836280662,FL
full-year,all_sports,age,18-24,2018,recruits,75473.92461407451,FL
full-year,fish,age,18-24,2010,churn,0.6632393997199999,FL
full-year,fish,age,18-24,2011,churn,0.6658688179800001,FL
full-year,fish,age,18-24,2012,churn,0.6738812277099999,FL
full-year,fish,age,18-24,2013,churn,0.6591823595699999,FL
full-year,fish,age,18-24,2014,churn,0.67257827275,FL
full-year,fish,age,18-24,2015,churn,0.6629600088500001,FL
full-year,fish,age,18-24,2016,churn,0.66362593888,FL
full-year,fish,age,18-24,2017,churn,0.65156776186,FL
full-year,fish,age,18-24,2018,churn,0.64674774939,FL
full-year,fish,age,18-24,2009,participants,113219.85223916538,FL
full-year,fish,age,18-24,2010,participants,130568.86624752797,FL
full-year,fish,age,18-24,2011,participants,149937.80575761525,FL
full-year,fish,age,18-24,2012,participants,154243.0601654243,FL
full-year,fish,age,18-24,2013,participants,172737.050023559,FL
full-year,fish,age,18-24,2014,participants,178492.4765072423,FL
full-year,fish,age,18-24,2015,participants,181781.14860108565,FL
full-year,fish,age,18-24,2016,participants,179857.75034397794,FL
full-year,fish,age,18-24,2017,participants,177505.54458347,FL
full-year,fish,age,18-24,2018,participants,170398.33319766072,FL
full-year,fish,age,18-24,2014,recruits,88126.10888312123,FL
full-year,fish,age,18-24,2015,recruits,86347.35793499045,FL
full-year,fish,age,18-24,2016,recruits,83302.14540120676,FL
full-year,fish,age,18-24,2017,recruits,79791.18723835233,FL
full-year,fish,age,18-24,2018,recruits,75118.99065096285,FL
full-year,hunt,age,18-24,2010,churn,0.45621500560000006,FL
full-year,hunt,age,18-24,2011,churn,0.48308396606000004,FL
full-year,hunt,age,18-24,2012,churn,0.47930009148999997,FL
full-year,hunt,age,18-24,2013,churn,0.46714371552,FL
full-year,hunt,age,18-24,2014,churn,0.47628074026,FL
full-year,hunt,age,18-24,2015,churn,0.434202403,FL
full-year,hunt,age,18-24,2016,churn,0.39468828898999997,FL
full-year,hunt,age,18-24,2017,churn,0.38021577417999997,FL
full-year,hunt,age,18-24,2018,churn,0.37430309174,FL
full-year,hunt,age,18-24,2009,participants,18395.866128637503,FL
full-year,hunt,age,18-24,2010,participants,18466.800414063182,FL
full-year,hunt,age,18-24,2011,participants,18104.21861725594,FL
full-year,hunt,age,18-24,2012,participants,18959.329151024584,FL
full-year,hunt,age,18-24,2013,participants,20763.99828099328,FL
full-year,hunt,age,18-24,2014,participants,21849.343264045237,FL
full-year,hunt,age,18-24,2015,participants,21632.673843806617,FL
full-year,hunt,age,18-24,2016,participants,21525.119812508747,FL
full-year,hunt,age,18-24,2017,participants,20735.387218625114,FL
full-year,hunt,age,18-24,2018,participants,20079.52022179058,FL
full-year,hunt,age,18-24,2014,recruits,8390.164361330271,FL
full-year,hunt,age,18-24,2015,recruits,6805.198314751345,FL
full-year,hunt,age,18-24,2016,recruits,6215.184707529201,FL
full-year,hunt,age,18-24,2017,recruits,5843.491892153541,FL
full-year,hunt,age,18-24,2018,recruits,5825.018090839107,FL
full-year,all_sports,age,25-34,2010,churn,0.58735049021,FL
full-year,all_sports,age,25-34,2011,churn,0.59406806338,FL
full-year,all_sports,age,25-34,2012,churn,0.6053123005500001,FL
full-year,all_sports,age,25-34,2013,churn,0.59120212655,FL
full-year,all_sports,age,25-34,2014,churn,0.6045783891600001,FL
full-year,all_sports,age,25-34,2015,churn,0.5983393216799999,FL
full-year,all_sports,age,25-34,2016,churn,0.6049428701499999,FL
full-year,all_sports,age,25-34,2017,churn,0.59789835483,FL
full-year,all_sports,age,25-34,2018,churn,0.5882779070999999,FL
full-year,all_sports,age,25-34,2009,participants,205959.60392448222,FL
full-year,all_sports,age,25-34,2010,participants,234470.79207274606,FL
full-year,all_sports,age,25-34,2011,participants,261592.452714343,FL
full-year,all_sports,age,25-34,2012,participants,268187.1473834084,FL
full-year,all_sports,age,25-34,2013,participants,296353.8754139919,FL
full-year,all_sports,age,25-34,2014,participants,310660.3261202125,FL
full-year,all_sports,age,25-34,2015,participants,327415.8498615031,FL
