timeframe,group,segment,year,category,metric,value,state
mid-year,hunt,all,2008,all,participants,170681,WI
mid-year,hunt,all,2009,all,participants,171658,WI
mid-year,hunt,all,2010,all,participants,161629,WI
mid-year,hunt,all,2011,all,participants,153678,WI
mid-year,hunt,all,2012,all,participants,152113,WI
mid-year,hunt,all,2013,all,participants,149271,WI
mid-year,hunt,all,2014,all,participants,141543,WI
mid-year,hunt,all,2015,all,participants,142637,WI
mid-year,hunt,residency,2008,resident,participants,165927,WI
mid-year,hunt,residency,2009,resident,participants,166635,WI
mid-year,hunt,residency,2010,resident,participants,156631,WI
mid-year,hunt,residency,2011,resident,participants,148859,WI
mid-year,hunt,residency,2012,resident,participants,147566,WI
mid-year,hunt,residency,2013,resident,participants,144519,WI
mid-year,hunt,residency,2014,resident,participants,137121,WI
mid-year,hunt,residency,2015,resident,participants,137836,WI
mid-year,hunt,residency,2008,nonresident,participants,4754,WI
mid-year,hunt,residency,2009,nonresident,participants,5023,WI
mid-year,hunt,residency,2010,nonresident,participants,4998,WI
mid-year,hunt,residency,2011,nonresident,participants,4819,WI
mid-year,hunt,residency,2012,nonresident,participants,4547,WI
mid-year,hunt,residency,2013,nonresident,participants,4752,WI
mid-year,hunt,residency,2014,nonresident,participants,4422,WI
mid-year,hunt,residency,2015,nonresident,participants,4801,WI
mid-year,hunt,gender,2008,male,participants,159601,WI
mid-year,hunt,gender,2009,male,participants,160179,WI
mid-year,hunt,gender,2010,male,participants,150537,WI
mid-year,hunt,gender,2011,male,participants,142862,WI
mid-year,hunt,gender,2012,male,participants,141093,WI
mid-year,hunt,gender,2013,male,participants,138252,WI
mid-year,hunt,gender,2014,male,participants,130633,WI
mid-year,hunt,gender,2015,male,participants,131053,WI
mid-year,hunt,gender,2008,female,participants,11080,WI
mid-year,hunt,gender,2009,female,participants,11479,WI
mid-year,hunt,gender,2010,female,participants,11092,WI
mid-year,hunt,gender,2011,female,participants,10816,WI
mid-year,hunt,gender,2012,female,participants,11020,WI
mid-year,hunt,gender,2013,female,participants,11019,WI
mid-year,hunt,gender,2014,female,participants,10910,WI
mid-year,hunt,gender,2015,female,participants,11584,WI
mid-year,hunt,age,2008,18-24,participants,16592,WI
mid-year,hunt,age,2009,18-24,participants,16804,WI
mid-year,hunt,age,2010,18-24,participants,16286,WI
mid-year,hunt,age,2011,18-24,participants,15338,WI
mid-year,hunt,age,2012,18-24,participants,15497,WI
mid-year,hunt,age,2013,18-24,participants,15699,WI
mid-year,hunt,age,2014,18-24,participants,15206,WI
mid-year,hunt,age,2015,18-24,participants,15440,WI
mid-year,hunt,age,2008,25-34,participants,26647,WI
mid-year,hunt,age,2009,25-34,participants,27196,WI
mid-year,hunt,age,2010,25-34,participants,25950,WI
mid-year,hunt,age,2011,25-34,participants,25085,WI
mid-year,hunt,age,2012,25-34,participants,25033,WI
mid-year,hunt,age,2013,25-34,participants,24794,WI
mid-year,hunt,age,2014,25-34,participants,24093,WI
mid-year,hunt,age,2015,25-34,participants,24603,WI
mid-year,hunt,age,2008,35-44,participants,41653,WI
mid-year,hunt,age,2009,35-44,participants,40135,WI
mid-year,hunt,age,2010,35-44,participants,35864,WI
mid-year,hunt,age,2011,35-44,participants,32527,WI
mid-year,hunt,age,2012,35-44,participants,31063,WI
mid-year,hunt,age,2013,35-44,participants,29716,WI
mid-year,hunt,age,2014,35-44,participants,27208,WI
mid-year,hunt,age,2015,35-44,participants,26925,WI
mid-year,hunt,age,2008,45-54,participants,50091,WI
mid-year,hunt,age,2009,45-54,participants,50460,WI
mid-year,hunt,age,2010,45-54,participants,47197,WI
mid-year,hunt,age,2011,45-54,participants,44755,WI
mid-year,hunt,age,2012,45-54,participants,43737,WI
mid-year,hunt,age,2013,45-54,participants,42029,WI
mid-year,hunt,age,2014,45-54,participants,38809,WI
mid-year,hunt,age,2015,45-54,participants,38068,WI
mid-year,hunt,age,2008,55-64,participants,35698,WI
mid-year,hunt,age,2009,55-64,participants,37062,WI
mid-year,hunt,age,2010,55-64,participants,36332,WI
mid-year,hunt,age,2011,55-64,participants,35973,WI
mid-year,hunt,age,2012,55-64,participants,36783,WI
mid-year,hunt,age,2013,55-64,participants,37033,WI
mid-year,hunt,age,2014,55-64,participants,36227,WI
mid-year,hunt,age,2015,55-64,participants,37601,WI
mid-year,hunt,all,2013,all,recruits,3387,WI
mid-year,hunt,all,2014,all,recruits,3157,WI
mid-year,hunt,all,2015,all,recruits,3089,WI
mid-year,hunt,residency,2013,resident,recruits,2741,WI
mid-year,hunt,residency,2014,resident,recruits,2526,WI
mid-year,hunt,residency,2015,resident,recruits,2425,WI
mid-year,hunt,residency,2013,nonresident,recruits,646,WI
mid-year,hunt,residency,2014,nonresident,recruits,631,WI
mid-year,hunt,residency,2015,nonresident,recruits,664,WI
mid-year,hunt,gender,2013,male,recruits,2444,WI
mid-year,hunt,gender,2014,male,recruits,2280,WI
mid-year,hunt,gender,2015,male,recruits,2180,WI
mid-year,hunt,gender,2013,female,recruits,943,WI
mid-year,hunt,gender,2014,female,recruits,877,WI
mid-year,hunt,gender,2015,female,recruits,909,WI
mid-year,hunt,age,2013,18-24,recruits,587,WI
mid-year,hunt,age,2014,18-24,recruits,582,WI
mid-year,hunt,age,2015,18-24,recruits,516,WI
mid-year,hunt,age,2013,25-34,recruits,945,WI
mid-year,hunt,age,2014,25-34,recruits,864,WI
mid-year,hunt,age,2015,25-34,recruits,888,WI
