timeframe,group,segment,year,category,metric,value,state
mid-year,hunt,all,2008,all,participants,168353,OR
mid-year,hunt,all,2009,all,participants,172092,OR
mid-year,hunt,all,2010,all,participants,156751,OR
mid-year,hunt,all,2011,all,participants,154609,OR
mid-year,hunt,all,2012,all,participants,152347,OR
mid-year,hunt,all,2013,all,participants,153234,OR
mid-year,hunt,all,2014,all,participants,152848,OR
mid-year,hunt,all,2015,all,participants,155324,OR
mid-year,hunt,all,2016,all,participants,156160,OR
mid-year,hunt,all,2017,all,participants,151843,OR
mid-year,hunt,all,2018,all,participants,151405,OR
mid-year,hunt,all,2019,all,participants,148088,OR
mid-year,hunt,residency,2008,resident,participants,155624,OR
mid-year,hunt,residency,2009,resident,participants,159426,OR
mid-year,hunt,residency,2010,resident,participants,148077,OR
mid-year,hunt,residency,2011,resident,participants,146310,OR
mid-year,hunt,residency,2012,resident,participants,144177,OR
mid-year,hunt,residency,2013,resident,participants,145005,OR
mid-year,hunt,residency,2014,resident,participants,144455,OR
mid-year,hunt,residency,2015,resident,participants,146409,OR
mid-year,hunt,residency,2016,resident,participants,147057,OR
mid-year,hunt,residency,2017,resident,participants,142997,OR
mid-year,hunt,residency,2018,resident,participants,141980,OR
mid-year,hunt,residency,2019,resident,participants,138402,OR
mid-year,hunt,residency,2008,nonresident,participants,12729,OR
mid-year,hunt,residency,2009,nonresident,participants,12666,OR
mid-year,hunt,residency,2010,nonresident,participants,8674,OR
mid-year,hunt,residency,2011,nonresident,participants,8299,OR
mid-year,hunt,residency,2012,nonresident,participants,8170,OR
mid-year,hunt,residency,2013,nonresident,participants,8229,OR
mid-year,hunt,residency,2014,nonresident,participants,8393,OR
mid-year,hunt,residency,2015,nonresident,participants,8915,OR
mid-year,hunt,residency,2016,nonresident,participants,9103,OR
mid-year,hunt,residency,2017,nonresident,participants,8846,OR
mid-year,hunt,residency,2018,nonresident,participants,9425,OR
mid-year,hunt,residency,2019,nonresident,participants,9686,OR
mid-year,hunt,gender,2008,male,participants,145413,OR
mid-year,hunt,gender,2009,male,participants,147819,OR
mid-year,hunt,gender,2010,male,participants,134939,OR
mid-year,hunt,gender,2011,male,participants,132616,OR
mid-year,hunt,gender,2012,male,participants,130130,OR
mid-year,hunt,gender,2013,male,participants,129902,OR
mid-year,hunt,gender,2014,male,participants,128484,OR
mid-year,hunt,gender,2015,male,participants,129331,OR
mid-year,hunt,gender,2016,male,participants,128785,OR
mid-year,hunt,gender,2017,male,participants,124875,OR
mid-year,hunt,gender,2018,male,participants,124516,OR
mid-year,hunt,gender,2019,male,participants,122261,OR
mid-year,hunt,gender,2008,female,participants,22940,OR
mid-year,hunt,gender,2009,female,participants,24273,OR
mid-year,hunt,gender,2010,female,participants,21812,OR
mid-year,hunt,gender,2011,female,participants,21993,OR
mid-year,hunt,gender,2012,female,participants,22217,OR
mid-year,hunt,gender,2013,female,participants,23332,OR
mid-year,hunt,gender,2014,female,participants,24364,OR
mid-year,hunt,gender,2015,female,participants,25993,OR
mid-year,hunt,gender,2016,female,participants,27375,OR
mid-year,hunt,gender,2017,female,participants,26968,OR
mid-year,hunt,gender,2018,female,participants,26889,OR
mid-year,hunt,gender,2019,female,participants,25827,OR
