timeframe,group,segment,year,category,metric,value,state
mid-year,hunt,all,2009,all,participants,81506,IA
mid-year,hunt,all,2010,all,participants,75482,IA
mid-year,hunt,all,2011,all,participants,72715,IA
mid-year,hunt,all,2012,all,participants,72892,IA
mid-year,hunt,all,2013,all,participants,76216,IA
mid-year,hunt,all,2014,all,participants,73395,IA
mid-year,hunt,all,2015,all,participants,73395,IA
mid-year,hunt,all,2016,all,participants,76069,IA
mid-year,hunt,all,2017,all,participants,72513,IA
mid-year,hunt,all,2018,all,participants,71023,IA
mid-year,hunt,residency,2009,resident,participants,70518,IA
mid-year,hunt,residency,2010,resident,participants,65254,IA
mid-year,hunt,residency,2011,resident,participants,63316,IA
mid-year,hunt,residency,2012,resident,participants,63405,IA
mid-year,hunt,residency,2013,resident,participants,67177,IA
mid-year,hunt,residency,2014,resident,participants,64849,IA
mid-year,hunt,residency,2015,resident,participants,64087,IA
mid-year,hunt,residency,2016,resident,participants,66597,IA
mid-year,hunt,residency,2017,resident,participants,62817,IA
mid-year,hunt,residency,2018,resident,participants,60904,IA
mid-year,hunt,residency,2009,nonresident,participants,10988,IA
mid-year,hunt,residency,2010,nonresident,participants,10228,IA
mid-year,hunt,residency,2011,nonresident,participants,9399,IA
mid-year,hunt,residency,2012,nonresident,participants,9487,IA
mid-year,hunt,residency,2013,nonresident,participants,9039,IA
mid-year,hunt,residency,2014,nonresident,participants,8546,IA
mid-year,hunt,residency,2015,nonresident,participants,9308,IA
mid-year,hunt,residency,2016,nonresident,participants,9472,IA
mid-year,hunt,residency,2017,nonresident,participants,9696,IA
mid-year,hunt,residency,2018,nonresident,participants,10119,IA
mid-year,hunt,gender,2009,male,participants,78640,IA
mid-year,hunt,gender,2010,male,participants,72835,IA
mid-year,hunt,gender,2011,male,participants,70200,IA
mid-year,hunt,gender,2012,male,participants,70112,IA
mid-year,hunt,gender,2013,male,participants,73011,IA
mid-year,hunt,gender,2014,male,participants,69986,IA
mid-year,hunt,gender,2015,male,participants,69664,IA
mid-year,hunt,gender,2016,male,participants,72030,IA
mid-year,hunt,gender,2017,male,participants,68679,IA
mid-year,hunt,gender,2018,male,participants,67118,IA
mid-year,hunt,gender,2009,female,participants,2866,IA
mid-year,hunt,gender,2010,female,participants,2647,IA
mid-year,hunt,gender,2011,female,participants,2515,IA
mid-year,hunt,gender,2012,female,participants,2780,IA
mid-year,hunt,gender,2013,female,participants,3205,IA
mid-year,hunt,gender,2014,female,participants,3409,IA
mid-year,hunt,gender,2015,female,participants,3731,IA
mid-year,hunt,gender,2016,female,participants,4039,IA
mid-year,hunt,gender,2017,female,participants,3834,IA
mid-year,hunt,gender,2018,female,participants,3905,IA
mid-year,hunt,age,2009,18-24,participants,7697,IA
mid-year,hunt,age,2010,18-24,participants,6822,IA
mid-year,hunt,age,2011,18-24,participants,6799,IA
mid-year,hunt,age,2012,18-24,participants,7015,IA
mid-year,hunt,age,2013,18-24,participants,7873,IA
mid-year,hunt,age,2014,18-24,participants,8004,IA
mid-year,hunt,age,2015,18-24,participants,8082,IA
mid-year,hunt,age,2016,18-24,participants,8418,IA
mid-year,hunt,age,2017,18-24,participants,7901,IA
mid-year,hunt,age,2018,18-24,participants,7792,IA
mid-year,hunt,age,2009,25-34,participants,14776,IA
mid-year,hunt,age,2010,25-34,participants,13685,IA
mid-year,hunt,age,2011,25-34,participants,13305,IA
mid-year,hunt,age,2012,25-34,participants,13321,IA
mid-year,hunt,age,2013,25-34,participants,14555,IA
mid-year,hunt,age,2014,25-34,participants,14367,IA
mid-year,hunt,age,2015,25-34,participants,14185,IA
mid-year,hunt,age,2016,25-34,participants,14758,IA
mid-year,hunt,age,2017,25-34,participants,14106,IA
mid-year,hunt,age,2018,25-34,participants,13911,IA
mid-year,hunt,age,2009,35-44,participants,19020,IA
mid-year,hunt,age,2010,35-44,participants,16924,IA
mid-year,hunt,age,2011,35-44,participants,15878,IA
mid-year,hunt,age,2012,35-44,participants,15695,IA
mid-year,hunt,age,2013,35-44,participants,16001,IA
mid-year,hunt,age,2014,35-44,participants,15270,IA
mid-year,hunt,age,2015,35-44,participants,14959,IA
mid-year,hunt,age,2016,35-44,participants,15462,IA
mid-year,hunt,age,2017,35-44,participants,15011,IA
mid-year,hunt,age,2018,35-44,participants,15028,IA
mid-year,hunt,age,2009,45-54,participants,23384,IA
mid-year,hunt,age,2010,45-54,participants,21579,IA
mid-year,hunt,age,2011,45-54,participants,20312,IA
mid-year,hunt,age,2012,45-54,participants,20026,IA
mid-year,hunt,age,2013,45-54,participants,20165,IA
mid-year,hunt,age,2014,45-54,participants,18568,IA
mid-year,hunt,age,2015,45-54,participants,18324,IA
mid-year,hunt,age,2016,45-54,participants,18457,IA
mid-year,hunt,age,2017,45-54,participants,17176,IA
mid-year,hunt,age,2018,45-54,participants,16184,IA
mid-year,hunt,age,2009,55-64,participants,16628,IA
mid-year,hunt,age,2010,55-64,participants,16471,IA
mid-year,hunt,age,2011,55-64,participants,16420,IA
mid-year,hunt,age,2012,55-64,participants,16834,IA
mid-year,hunt,age,2013,55-64,participants,17621,IA
mid-year,hunt,age,2014,55-64,participants,17185,IA
mid-year,hunt,age,2015,55-64,participants,17844,IA
mid-year,hunt,age,2016,55-64,participants,18972,IA
mid-year,hunt,age,2017,55-64,participants,18318,IA
mid-year,hunt,age,2018,55-64,participants,18107,IA
mid-year,hunt,all,2014,all,recruits,4559,IA
mid-year,hunt,all,2015,all,recruits,4785,IA
mid-year,hunt,all,2016,all,recruits,4851,IA
mid-year,hunt,all,2017,all,recruits,4681,IA
mid-year,hunt,all,2018,all,recruits,4489,IA
mid-year,hunt,residency,2014,resident,recruits,2385,IA
mid-year,hunt,residency,2015,resident,recruits,2301,IA
mid-year,hunt,residency,2016,resident,recruits,2333,IA
mid-year,hunt,residency,2017,resident,recruits,2026,IA
mid-year,hunt,residency,2018,resident,recruits,1860,IA
mid-year,hunt,residency,2014,nonresident,recruits,2174,IA
mid-year,hunt,residency,2015,nonresident,recruits,2484,IA
mid-year,hunt,residency,2016,nonresident,recruits,2518,IA
mid-year,hunt,residency,2017,nonresident,recruits,2655,IA
mid-year,hunt,residency,2018,nonresident,recruits,2629,IA
mid-year,hunt,gender,2014,male,recruits,4033,IA
mid-year,hunt,gender,2015,male,recruits,4240,IA
mid-year,hunt,gender,2016,male,recruits,4271,IA
mid-year,hunt,gender,2017,male,recruits,4209,IA
mid-year,hunt,gender,2018,male,recruits,3969,IA
mid-year,hunt,gender,2014,female,recruits,526,IA
mid-year,hunt,gender,2015,female,recruits,545,IA
mid-year,hunt,gender,2016,female,recruits,580,IA
mid-year,hunt,gender,2017,female,recruits,472,IA
mid-year,hunt,gender,2018,female,recruits,520,IA
mid-year,hunt,age,2014,18-24,recruits,558,IA
mid-year,hunt,age,2015,18-24,recruits,591,IA
mid-year,hunt,age,2016,18-24,recruits,543,IA
mid-year,hunt,age,2017,18-24,recruits,464,IA
mid-year,hunt,age,2018,18-24,recruits,523,IA
mid-year,hunt,age,2014,25-34,recruits,1085,IA
mid-year,hunt,age,2015,25-34,recruits,1057,IA
mid-year,hunt,age,2016,25-34,recruits,1093,IA
mid-year,hunt,age,2017,25-34,recruits,1002,IA
mid-year,hunt,age,2018,25-34,recruits,951,IA
mid-year,hunt,age,2014,35-44,recruits,1038,IA
mid-year,hunt,age,2015,35-44,recruits,1043,IA
mid-year,hunt,age,2016,35-44,recruits,1010,IA
mid-year,hunt,age,2017,35-44,recruits,1074,IA
mid-year,hunt,age,2018,35-44,recruits,1008,IA
mid-year,hunt,age,2014,45-54,recruits,1046,IA
mid-year,hunt,age,2015,45-54,recruits,1129,IA
mid-year,hunt,age,2016,45-54,recruits,1176,IA
mid-year,hunt,age,2017,45-54,recruits,1128,IA
mid-year,hunt,age,2018,45-54,recruits,1079,IA
mid-year,hunt,age,2014,55-64,recruits,832,IA
mid-year,hunt,age,2015,55-64,recruits,965,IA
mid-year,hunt,age,2016,55-64,recruits,1028,IA
mid-year,hunt,age,2017,55-64,recruits,1013,IA
mid-year,hunt,age,2018,55-64,recruits,928,IA
mid-year,fish,all,2009,all,participants,252267,IA
mid-year,fish,all,2010,all,participants,240736,IA
mid-year,fish,all,2011,all,participants,229198,IA
mid-year,fish,all,2012,all,participants,265513,IA
mid-year,fish,all,2013,all,participants,221158,IA
mid-year,fish,all,2014,all,participants,236593,IA
mid-year,fish,all,2015,all,participants,244095,IA
