timeframe,group,category,year,metric,value,segment,state
Mid-year,all_sports,18-24,2009,participants,53653.116232080414,age,FL
Mid-year,all_sports,18-24,2010,participants,66439.55752919226,age,FL
Mid-year,all_sports,18-24,2011,participants,80986.94589487607,age,FL
Mid-year,all_sports,18-24,2012,participants,83246.7186524537,age,FL
Mid-year,all_sports,18-24,2013,participants,91905.52279356433,age,FL
Mid-year,all_sports,18-24,2014,participants,94111.15988459808,age,FL
Mid-year,all_sports,18-24,2015,participants,95205.70289928446,age,FL
Mid-year,all_sports,18-24,2016,participants,94459.2175259064,age,FL
Mid-year,all_sports,18-24,2017,participants,94353.92770306948,age,FL
Mid-year,all_sports,18-24,2018,participants,88661.92741532564,age,FL
Mid-year,all_sports,18-24,2019,participants,92361.28108799945,age,FL
Mid-year,all_sports,18-24,2014,recruits,46643.79018463135,age,FL
Mid-year,all_sports,18-24,2015,recruits,46241.32455967677,age,FL
Mid-year,all_sports,18-24,2016,recruits,45142.53562552231,age,FL
Mid-year,all_sports,18-24,2017,recruits,43544.61226928695,age,FL
Mid-year,all_sports,18-24,2018,recruits,39733.74706813214,age,FL
Mid-year,all_sports,18-24,2019,recruits,42653.9664490113,age,FL
Mid-year,fish,18-24,2009,participants,52141.91100874303,age,FL
Mid-year,fish,18-24,2010,participants,64889.94976551182,age,FL
Mid-year,fish,18-24,2011,participants,79602.22605084477,age,FL
Mid-year,fish,18-24,2012,participants,81816.25122912442,age,FL
Mid-year,fish,18-24,2013,participants,90378.7690638566,age,FL
Mid-year,fish,18-24,2014,participants,92479.18334973145,age,FL
Mid-year,fish,18-24,2015,participants,93882.01573400751,age,FL
Mid-year,fish,18-24,2016,participants,93108.33978366149,age,FL
Mid-year,fish,18-24,2017,participants,93048.45301843174,age,FL
Mid-year,fish,18-24,2018,participants,87278.16557116028,age,FL
Mid-year,fish,18-24,2019,participants,90691.42120873075,age,FL
Mid-year,fish,18-24,2014,recruits,46890.0679655175,age,FL
Mid-year,fish,18-24,2015,recruits,46534.66566594521,age,FL
Mid-year,fish,18-24,2016,recruits,45353.01762047649,age,FL
Mid-year,fish,18-24,2017,recruits,43743.26924352897,age,FL
Mid-year,fish,18-24,2018,recruits,39770.54853843378,age,FL
Mid-year,fish,18-24,2019,recruits,42687.38858132386,age,FL
Mid-year,hunt,18-24,2009,participants,7985.286910077675,age,FL
Mid-year,hunt,18-24,2010,participants,8139.232727792876,age,FL
Mid-year,hunt,18-24,2011,participants,8159.036843699078,age,FL
Mid-year,hunt,18-24,2012,participants,8289.621743655902,age,FL
Mid-year,hunt,18-24,2013,participants,9221.697200533232,age,FL
Mid-year,hunt,18-24,2014,participants,9403.59840806434,age,FL
Mid-year,hunt,18-24,2015,participants,8410.206806943419,age,FL
Mid-year,hunt,18-24,2016,participants,7956.903175422907,age,FL
Mid-year,hunt,18-24,2017,participants,7705.117100536891,age,FL
Mid-year,hunt,18-24,2018,participants,7665.706500681191,age,FL
Mid-year,hunt,18-24,2019,participants,5167.7207787378975,age,FL
Mid-year,hunt,18-24,2014,recruits,3649.9621446149013,age,FL
Mid-year,hunt,18-24,2015,recruits,3263.710009409551,age,FL
Mid-year,hunt,18-24,2016,recruits,2988.8430396772023,age,FL
Mid-year,hunt,18-24,2017,recruits,2904.4556303691666,age,FL
Mid-year,hunt,18-24,2018,recruits,2788.6932794815198,age,FL
Mid-year,hunt,18-24,2019,recruits,2055.1054466004266,age,FL
Mid-year,all_sports,25-34,2009,participants,96215.74576214772,age,FL
Mid-year,all_sports,25-34,2010,participants,118458.07007110913,age,FL
Mid-year,all_sports,25-34,2011,participants,138437.2255105459,age,FL
Mid-year,all_sports,25-34,2012,participants,141387.39965639505,age,FL
Mid-year,all_sports,25-34,2013,participants,153037.44891493637,age,FL
Mid-year,all_sports,25-34,2014,participants,160077.29781900955,age,FL
Mid-year,all_sports,25-34,2015,participants,170762.66538409612,age,FL
Mid-year,all_sports,25-34,2016,participants,172345.92196659045,age,FL
Mid-year,all_sports,25-34,2017,participants,173137.75034173904,age,FL
Mid-year,all_sports,25-34,2018,participants,167267.07568685242,age,FL
Mid-year,all_sports,25-34,2019,participants,173300.54123451328,age,FL
Mid-year,all_sports,25-34,2014,recruits,64120.68202134351,age,FL
Mid-year,all_sports,25-34,2015,recruits,66862.44175788978,age,FL
Mid-year,all_sports,25-34,2016,recruits,66698.96321861535,age,FL
Mid-year,all_sports,25-34,2017,recruits,63842.805570309385,age,FL
Mid-year,all_sports,25-34,2018,recruits,59374.29753856278,age,FL
Mid-year,all_sports,25-34,2019,recruits,62810.67546290302,age,FL
Mid-year,fish,25-34,2009,participants,93578.7018349914,age,FL
Mid-year,fish,25-34,2010,participants,115698.89963178996,age,FL
Mid-year,fish,25-34,2011,participants,135953.7284716428,age,FL
Mid-year,fish,25-34,2012,participants,138834.3704567263,age,FL
Mid-year,fish,25-34,2013,participants,150274.0479373937,age,FL
Mid-year,fish,25-34,2014,participants,157292.48185051372,age,FL
Mid-year,fish,25-34,2015,participants,168296.23895085457,age,FL
Mid-year,fish,25-34,2016,participants,169690.8155733225,age,FL
Mid-year,fish,25-34,2017,participants,170522.93019931272,age,FL
Mid-year,fish,25-34,2018,participants,164425.3762783743,age,FL
Mid-year,fish,25-34,2019,participants,169516.52658972758,age,FL
Mid-year,fish,25-34,2014,recruits,64206.773754492206,age,FL
Mid-year,fish,25-34,2015,recruits,67047.04579048682,age,FL
Mid-year,fish,25-34,2016,recruits,66806.3294457901,age,FL
Mid-year,fish,25-34,2017,recruits,63932.39105593359,age,FL
Mid-year,fish,25-34,2018,recruits,59295.07135236063,age,FL
Mid-year,fish,25-34,2019,recruits,62667.08900515795,age,FL
Mid-year,hunt,25-34,2009,participants,13897.034903587992,age,FL
Mid-year,hunt,25-34,2010,participants,14381.026119296239,age,FL
Mid-year,hunt,25-34,2011,participants,14328.493691147418,age,FL
Mid-year,hunt,25-34,2012,participants,14396.782783340419,age,FL
Mid-year,hunt,25-34,2013,participants,16518.06476317436,age,FL
Mid-year,hunt,25-34,2014,participants,16669.215710036355,age,FL
Mid-year,hunt,25-34,2015,participants,17643.553744192785,age,FL
Mid-year,hunt,25-34,2016,participants,16949.54087994861,age,FL
Mid-year,hunt,25-34,2017,participants,16713.67169710739,age,FL
Mid-year,hunt,25-34,2018,participants,17079.084392615645,age,FL
Mid-year,hunt,25-34,2019,participants,13633.10204203043,age,FL
Mid-year,hunt,25-34,2014,recruits,5499.047751191162,age,FL
Mid-year,hunt,25-34,2015,recruits,6060.550948796362,age,FL
Mid-year,hunt,25-34,2016,recruits,5305.881909885676,age,FL
Mid-year,hunt,25-34,2017,recruits,5151.64077083817,age,FL
Mid-year,hunt,25-34,2018,recruits,5352.636218475555,age,FL
Mid-year,hunt,25-34,2019,recruits,4719.718462258753,age,FL
Mid-year,all_sports,35-44,2009,participants,119085.4481413753,age,FL
Mid-year,all_sports,35-44,2010,participants,141088.88701765277,age,FL
Mid-year,all_sports,35-44,2011,participants,157819.38881079238,age,FL
Mid-year,all_sports,35-44,2012,participants,156753.55977857835,age,FL
Mid-year,all_sports,35-44,2013,participants,161745.53997841087,age,FL
Mid-year,all_sports,35-44,2014,participants,163884.52581985653,age,FL
Mid-year,all_sports,35-44,2014,recruits,57523.25913500271,age,FL
Mid-year,fish,35-44,2009,participants,115491.91553293903,age,FL
Mid-year,fish,35-44,2010,participants,137493.98157463068,age,FL
Mid-year,fish,35-44,2011,participants,154694.8007577644,age,FL
Mid-year,fish,35-44,2012,participants,153723.86271291677,age,FL
Mid-year,fish,35-44,2013,participants,158894.61867757683,age,FL
Mid-year,fish,35-44,2014,participants,161142.03069001113,age,FL
Mid-year,fish,35-44,2014,recruits,57636.18436969479,age,FL
Mid-year,hunt,35-44,2009,participants,18601.10606038852,age,FL
Mid-year,hunt,35-44,2010,participants,17940.268345015018,age,FL
Mid-year,hunt,35-44,2011,participants,17615.490908042164,age,FL
Mid-year,hunt,35-44,2012,participants,16549.204872971426,age,FL
Mid-year,hunt,35-44,2013,participants,17343.501945207714,age,FL
Mid-year,hunt,35-44,2014,participants,16768.560427454006,age,FL
Mid-year,hunt,35-44,2014,recruits,4409.522802240955,age,FL
Mid-year,hunt,35-44,2015,participants,16458.783860351192,age,FL
Mid-year,hunt,35-44,2016,participants,16197.243380555534,age,FL
Mid-year,hunt,35-44,2017,participants,15935.702900759876,age,FL
Mid-year,hunt,35-44,2018,participants,15674.162420964218,age,FL
Mid-year,hunt,35-44,2019,participants,15412.62194116856,age,FL
Mid-year,hunt,35-44,2015,recruits,4328.062807976726,age,FL
Mid-year,hunt,35-44,2016,recruits,4259.2871540166025,age,FL
Mid-year,hunt,35-44,2017,recruits,4190.511500056479,age,FL
Mid-year,hunt,35-44,2018,recruits,4121.735846096356,age,FL
Mid-year,hunt,35-44,2019,recruits,4052.9601921362328,age,FL
Mid-year,fish,35-44,2015,participants,168638.63372775353,age,FL
Mid-year,fish,35-44,2016,participants,173788.22534281015,age,FL
Mid-year,fish,35-44,2017,participants,178937.81695786864,age,FL
Mid-year,fish,35-44,2018,participants,184087.40857292525,age,FL
Mid-year,fish,35-44,2019,participants,189237.00018798187,age,FL
Mid-year,fish,35-44,2015,recruits,60317.51830212437,age,FL
Mid-year,fish,35-44,2016,recruits,62159.38916898093,age,FL
Mid-year,fish,35-44,2017,recruits,64001.26003583816,age,FL
Mid-year,fish,35-44,2018,recruits,65843.13090269473,age,FL
